Area,Count
BUKIT MERAH,2
QUEENSTOWN,1
BEDOK,1
TOA PAYOH,1
TAMPINES,2
BISHAN,1
SENGKANG,2
PUNGGOL,1
YISHUN,1
MARINE PARADE,1
ANG MO KIO,1
