Area,Count
BUKIT MERAH,136
BEDOK,13
ANG MO KIO,56
CHOA CHU KANG,1
CENTRAL AREA,236
TOA PAYOH,150
BISHAN,169
QUEENSTOWN,150
BUKIT TIMAH,40
KALLANG/WHAMPOA,98
CLEMENTI,58
PASIR RIS,4
PUNGGOL,2
SERANGOON,32
WOODLANDS,20
GEYLANG,15
BUKIT BATOK,3
HOUGANG,10
MARINE PARADE,8
YISHUN,9
TAMPINES,4
BUKIT PANJANG,1
JURONG EAST,6
