Location_Name,Location_Type,Blk_No,Address,Postal_Code,Full_Address,Long,Lat
Kampung Admiralty,Supermarket,676,Woodlands Drive 71,730676,"676 Woodlands Drive 71, #B1-02 Singapore 730676",103.800694,1.4398349
Kang Kar Mall,Supermarket,100,Hougang Ave 10,538767,"100 Hougang Ave 10, #01-01 & #02-01, Kang Kar Mall Singapore 538767",103.8935675,1.3727201
Khatib,Supermarket,849,Yishun Ring Road,760849,"849 Yishun Ring Road, #01-3701/3703 Singapore 760849",103.8353542,1.4171201
Kim Tian,Supermarket,18,Kim Tian Road,169252,18/20 Kim Tian Road Singapore 169252,103.8274636,1.2799669
Lengkong Tiga,Supermarket,110,Lengkong Tiga,410110,"110 Lengkong Tiga, #01-233/235 Singapore 410110",103.9108762,1.3236788
Limbang,Supermarket,533,Choa Chu Kang Street 51,680533,"533 Choa Chu Kang Street 51, #01-11 Singapore 680533",103.742431,1.389497
Lor Limau,Supermarket,80,Lorong Limau Road,320080,"80 Lorong Limau Road, #01-191 Singapore 320080",103.855763,1.323904
Lot 1 Shoppers Mall,Supermarket,21,Choa Chu Kang Ave 4,689812,"21 Choa Chu Kang Ave 4, #B1-05 Singapore 689812",103.7450277,1.38505675
Macpherson Mall,Supermarket,401,Macpherson Road,368125,"401 Macpherson Road, #02-22, Macpherson Mall Singapore 368125",103.8792945,1.3317706
Marsiling MRT,Supermarket,71,Woodlands Ave 3,739044,"71 Woodlands Ave 3, #01-01, Marsiling MRT Station Singapore 739044",103.7741243,1.4325704
New Upper Changi,Supermarket,57,New Upper Changi Road,461057,"57 New Upper Changi Road, #01-1334/1336/1338 Singapore 461057",103.9415679,1.3243255
Northpoint City,Supermarket,1,Northpoint Drive,768019,"1 Northpoint Drive, #B2-103/107, Northpoint City Singapore 768019",103.8359,1.4293
NUH Medical Centre,Supermarket,1,Lower Kent Ridge Road,119082,"1 Lower Kent Ridge Road, #02-16, NUH Medical Centre Singapore 119082",103.7845459,1.2940655
Orchid Country Club,Supermarket,1,Orchid Country Club Road,769162,"1 Orchid Country Club Road, #01-34, Orchid Country Club Singapore 769162",103.8447905,1.4129732
Orchard Grand Court,Supermarket,131,Killiney Road,239571,"131 Killiney Road, #01-01/02/03, Orchard Grand Court Singapore 239571",103.8383052,1.2973182
Pasir Ris West Plaza,Supermarket,734,Pasir Ris Street 72,510734,"734 Pasir Ris Street 72, #01-37 Singapore 510734",103.9362379,1.3796884
Potong Pasir Community Club,Supermarket,6,Potong Pasir Ave 2,358361,"6 Potong Pasir Ave 2, #01-01 Singapore 358361",103.8671892,1.3326372
PSA,Supermarket,460,Alexandra Road,119963,"460 Alexandra Road, #01-09 & #01-16 Singapore 119963",103.8012186,1.2737212
Punggol Drive,Supermarket,612,Punggol Drive,820612,"612 Punggol Drive, #01-06 Singapore 820612",103.9085261,1.4048623
Punggol Drive Oasis,Supermarket,681,Punggol Drive,820681,"681 Punggol Drive, #B1-01, Oasis Terraces Singapore 820681",103.9132234,1.4027879
Punggol Plaza,Supermarket,168,Punggol Field Road,820168,"168 Punggol Field Road, #03-01/02, Punggol Plaza Singapore 820168",103.913314,1.39412
Redhill,Supermarket,20,Lengkok Bahru,159053,"20 Lengkok Bahru, #01-13 Singapore 159053",103.8154324,1.2874207
FairPrice outlets in Singapore Rivervale Mall,Supermarket,11,Rivervale Crescent,545082,"11 Rivervale Crescent, #03-01, Rivervale Mall Singapore 545082",103.904213,1.3923199
Rivervale Plaza,Supermarket,118,Rivervale Drive,540118,"118 Rivervale Drive, #01-08, Rivervale Plaza Singapore 540118",103.9016408,1.38522125
Sembawang Way Blk 355,Supermarket,355,Sembawang Way,750355,"355 Sembawang Way, #01-01 Singapore 750355",103.8186834,1.44954385
Sengkang East Ave,Supermarket,279,Sengkang East Ave,540279,"279 Sengkang East Ave, #01-06 Singapore 540279",103.8930781,1.3862282
Senja Grand,Supermarket,628,Senja Road,670628,"628 Senja Road, #01-01, Senja Grand Singapore 670628",103.7604035,1.3850202
Serangoon Blk 152B,Supermarket,152B,Serangoon North Ave 1,552152,"152B Serangoon North Ave 1, #01-384 Singapore 552152",103.8730163,1.3698237
Serangoon Central,Supermarket,253,Serangoon Central Drive,550253,"253 Serangoon Central Drive, #01-241 Singapore 550253",103.8708075,1.3540772
Serangoon View,Supermarket,476,Upper Serangoon View,530476,"476 Upper Serangoon View, #02-18 Singapore 530476",103.9035432,1.3773078
