Location_Name,Location_Type,Blk_No,Address,Postal_Code,Full Address,Long,Lat,floor_area_sqm,remaining_lease,Price,Link,Lease_Used,Num_Bed,Num_Toilet
Lorong 1 Toa Payoh,HDB 3 Room,115,Lorong 1 Toa Payoh,,Blk 115 Lorong 1 Toa Payoh,,,65,43,499000,https://www.srx.com.sg/listings/100580101/for-sale-lorong-1-toa-payoh-lorong-1-toa-payoh,56.0,2,2.0
Lorong 5 Toa Payoh,HDB 3 Room,57,Lorong 5 Toa Payoh,,Blk 57 Lorong 5 Toa Payoh,,,61,49,1000000,https://www.srx.com.sg/listings/100213381/for-sale-lorong-5-toa-payoh-lorong-5-toa-payoh,50.0,2,1.0
Bukit Batok West,HDB 4 Room,130,Bukit Batok West Avenue 6,,Blk 130 Bukit Batok West Avenue 6,,,103,60,1000000,https://www.srx.com.sg/listings/100294221/for-sale-bukit-batok-west-avenue-6-bukit-batok-west-avenue-6,39.0,3,2.0
Yishun,HDB Executive,826,Yishun Street 81,,Blk 826 Yishun Street 81,,,146,64,450000,https://www.srx.com.sg/listings/100543731/for-sale-yishun-street-81-pure-selling-serious-seller-and-can-contra-no-e,35.0,3,2.0
Upper Cross,HDB 3 Room,34,Upper Cross Street,,Blk 34 Upper Cross Street,,,65,51,450000,https://www.srx.com.sg/listings/100057901/for-sale-upper-cross-street-3-room-flat-for-sale-motivated-seller,48.0,2,1.0
Compassvale,HDB 4 Room,259B,Compassvale Road,,Blk 259B Compassvale Road,,,85,77,760000,https://www.srx.com.sg/listings/100488621/for-sale-compassvale-road-compassvale-road,22.0,3,2.0
Fernvale,HDB 3 Room,436D,Fernvale Road,,Blk 436D Fernvale Road,,,70,86,760000,https://www.srx.com.sg/listings/100533751/for-sale-fernvale-road-fernvale-road,13.0,2,2.0
Edgefield,HDB 5 Room,104B,Edgefield Plains,,Blk 104B Edgefield Plains,,,110,79,599000,https://www.srx.com.sg/listings/100488481/for-sale-edgefield-plains-edgefield-plains,20.0,3,2.0
Punggol Vue,HDB 3 Room,326C,Punggol Vue,,Blk 326C Punggol Vue,,,68,94,599000,https://www.srx.com.sg/listings/100277961/for-sale-punggol-vue-sumang-walk,5.0,2,2.0
Edgefield,HDB 4 Room,673C,Edgefield Plains,,Blk 673C Edgefield Plains,,,90,91,599000,https://www.srx.com.sg/listings/100543471/for-sale-edgefield-plains-edgefield-plains,8.0,3,2.0
Bedok North,HDB 3 Room,76,Bedok North Road,,Blk 76 Bedok North Road,,,59,54,788000,https://www.srx.com.sg/listings/100421581/for-sale-bedok-north-road-bedok-north-road,45.0,2,1.0
Eunos Crescent,HDB Executive,19,Eunos Crescent,,Blk 19 Eunos Crescent,,,130,53,518000,https://www.srx.com.sg/listings/100252741/for-sale-eunos-crescent-eunos-crescent,46.0,6,4.0
Spottiswoode Park,HDB 5 Room,109,Spottiswoode Park Road,,Blk 109 Spottiswoode Park Road,,,118,55,518000,https://www.srx.com.sg/listings/99321071/for-sale-spottiswoode-park-road-spottiswoode-park-road,44.0,3,2.0
Teban Gardens,HDB Executive,50,Teban Gardens Road,,Blk 50 Teban Gardens Road,,,146,62,420000,https://www.srx.com.sg/listings/100562231/for-sale-teban-gardens-road-teban-gardens-road,37.0,3,3.0
Jalan Bukit Ho Swee,HDB 2 Room,10,Jalan Bukit Ho Swee,,Blk 10 Jalan Bukit Ho Swee,,,35,47,420000,https://www.srx.com.sg/listings/96063021/for-sale-jalan-bukit-ho-swee-prime-location-with-demand,52.0,1,1.0
Upper Boon Keng,HDB 4 Room,15,Upper Boon Keng Road,,Blk 15 Upper Boon Keng Road,,,88,51,420000,https://www.srx.com.sg/listings/100674861/for-sale-upper-boon-keng-road-upper-boon-keng-road,48.0,3,2.0
Sembawang Crescent,HDB 2 Room,366A,Sembawang Crescent,,Blk 366A Sembawang Crescent,,,48,95,580000,https://www.srx.com.sg/listings/100562701/for-sale-sembawang-crescent-sembawang-crescent,4.0,1,1.0
