Title,Link,Bed,Toilet,Size,Room,Model,Built,Price,Remaing
Blk 232A Sumang Lane,https://www.srx.com.sg/listings/99947171/for-sale-sumang-lane-sumang-lane,3,2,113,None,None,None,858000,None
Blk 63 Kallang Bahru,https://www.srx.com.sg/listings/100577171/for-sale-kallang-bahru-kallang-bahru,4,2,130,HDB Executive,Jumbo,1974,858000,49
Blk 66 Bedok South Avenue 3,https://www.srx.com.sg/listings/100666131/for-sale-bedok-south-avenue-3-bedok-south-avenue-3,3,2,123,5 Room,Standard,1977,880000,46
Blk 508B Wellington View,https://www.srx.com.sg/listings/99967331/for-sale-wellington-view-spacious-and-efficient-layout,3,2,90,4 Room,Model A,2004,880000,19
Blk 299A Compassvale Street,https://www.srx.com.sg/listings/100567051/for-sale-compassvale-street-compassvale-street,3,2,113,4 Room,Model A,2001,880000,22
Blk 296B Skyline II @ Bukit Batok,https://www.srx.com.sg/listings/100544681/for-sale-skyline-ii-bukit-batok-bukit-batok-street-22,2,2,68,3 Room,Model A,2018,740000,5
Blk 410 Yishun Ring Road,https://www.srx.com.sg/listings/100545821/for-sale-yishun-ring-road-yishun-ring-road,3,2,105,4 Room,Model A,1988,740000,35
Blk 172 Bukit Batok West Avenue 8,https://www.srx.com.sg/listings/100480701/for-sale-bukit-batok-west-avenue-8-bukit-batok-west-avenue-8,3,2,103,4 Room,Model A,1985,740000,38
Blk 95A City Vue @henderson,https://www.srx.com.sg/listings/99967691/for-sale-city-vue-henderson-henderson-road,3,2,83,4 Room,Model A,2019,245000,4
Blk 547 Jurong West Street 42,https://www.srx.com.sg/listings/100206411/for-sale-jurong-west-street-42-jurong-west-street-42,3,3,137,5 Room,Model A,1984,245000,39
Blk 140C Yung Ho Spring I,https://www.srx.com.sg/listings/100551211/for-sale-yung-ho-spring-i-corporation-drive,3,2,93,4 Room,Model A,2019,245000,4
Blk 288B Compassvale Crescent,https://www.srx.com.sg/listings/100636441/for-sale-compassvale-crescent-compassvale-crescent,3,2,113,5 Room,Improved,2017,509000,6
Blk 4 Lorong Lew Lian,https://www.srx.com.sg/listings/100593121/for-sale-lorong-lew-lian-no-extension-well-maintained-with-minimal-renovati,2,2,73,3 Room,Improved(modified),1978,509000,45
Blk 187 Boon Lay Avenue,https://www.srx.com.sg/listings/100272751/for-sale-boon-lay-avenue-boon-lay-avenue,2,2,68,3 Room,Improved,1978,509000,45
Blk 298A Compassvale Street,https://www.srx.com.sg/listings/100672171/for-sale-compassvale-street-compassvale-street,3,2,93,4 Room,Model A,2001,330000,22
Blk 261 Bishan Street 22,https://www.srx.com.sg/listings/100566131/for-sale-bishan-street-22-bishan-street-22,4,2,147,HDB Executive,Maisonette,1992,330000,31
Blk 34 Upper Cross Street,https://www.srx.com.sg/listings/100075581/for-sale-upper-cross-street-upper-cross-street,2,1,65,3 Room,Improved,1975,330000,48
Blk 208 Petir Road,https://www.srx.com.sg/listings/100273201/for-sale-petir-road-petir-road,3,2,84,4 Room,Simplified,1988,400000,35
Blk 85 Circuit Road,https://www.srx.com.sg/listings/100046821/for-sale-circuit-road-circuit-road,2,2,60,3 Room,Improved,1970,400000,53
Blk 319 Woodlands Street 31,https://www.srx.com.sg/listings/96058641/for-sale-woodlands-street-31-bundle-sale-3a-reno-hdb-woodland-street-31-complet,2,2,73,3 Room,Model A,1993,400000,30
Blk 524 Bukit Batok Street 52,https://www.srx.com.sg/listings/99196161/for-sale-bukit-batok-street-52-bukit-batok-street-52,3,3,146,HDB Executive,Maisonette,1987,850000,36
Blk 65 Circuit Road,https://www.srx.com.sg/listings/100470221/for-sale-circuit-road-near-amenities-downtown-line-mrt,2,2,59,3 Room,Standard,1967,850000,56
Blk 1 Dover Road,https://www.srx.com.sg/listings/100575971/for-sale-dover-road-dover-road,3,2,73,3 Room,Improved,1975,850000,48
Blk 987A Jurong West Street 93,https://www.srx.com.sg/listings/100670261/for-sale-jurong-west-street-93-corner-4rm-well-kept-near-mrt-ntu-schools-hawk,3,2,93,4 Room,Model A2,2008,768000,15
Blk 505 Serangoon North Avenue 4,https://www.srx.com.sg/listings/100423371/for-sale-serangoon-north-avenue-4-serangoon-north-avenue-4,4,2,124,5 Room,Improved,1992,768000,31
Blk 505 Serangoon North Avenue 4,https://www.srx.com.sg/listings/100615861/for-sale-serangoon-north-avenue-4-serangoon-north-avenue-4,4,2,124,5 Room,Improved,1992,768000,31
Blk 321 Hougang Avenue 5,https://www.srx.com.sg/listings/100226651/for-sale-hougang-avenue-5-hougang-avenue-5,2,2,67,3 Room,New Generation,1983,698888,40
Blk 578 Ang Mo Kio Avenue 10,https://www.srx.com.sg/listings/100513511/for-sale-ang-mo-kio-avenue-10-ang-mo-kio-avenue-10,4,3,149,HDB Executive,Apartment,1980,698888,43
Blk 636 Woodlands Ring Road,https://www.srx.com.sg/listings/99059121/for-sale-woodlands-ring-road-woodlands-ring-road,4,3,142,None,None,None,698888,None
Blk 207A Punggol Sails,https://www.srx.com.sg/listings/100548381/for-sale-punggol-sails-4a-hdb-3-bedrooms-unit-at-blk-207a-punggol-place,3,2,92,4 Room,Model A,2014,930000,9
Blk 180B Boon Lay Drive,https://www.srx.com.sg/listings/100559851/for-sale-boon-lay-drive-must-view-2a-corner-privacy-breezy-big-living,1,1,47,2 Room,Model A,2014,930000,9
Blk 289E Bukit Batok Street 25,https://www.srx.com.sg/listings/100702541/for-sale-bukit-batok-street-25-rare-4a-unit-for-sale,3,2,102,4 Room,Model A,1998,930000,25
Blk 119 Bedok North Road,https://www.srx.com.sg/listings/100607161/for-sale-bedok-north-road-bedok-north-road,3,2,92,4 Room,New Generation,1978,590000,45
Blk 133 Bedok North Avenue 3,https://www.srx.com.sg/listings/100667071/for-sale-bedok-north-avenue-3-bedok-north-avenue-3,3,2,92,4 Room,New Generation,1978,590000,45
Blk 589C Montreal Drive,https://www.srx.com.sg/listings/97128251/for-sale-montreal-drive-all-races-pr-eligible,3,2,110,5 Room,Improved,2002,590000,21
Blk 589C Montreal Drive,https://www.srx.com.sg/listings/99373821/for-sale-montreal-drive-montreal-drive,3,2,110,5 Room,Improved,2002,610000,21
Blk 312A Anchorvale Lane,https://www.srx.com.sg/listings/99958261/for-sale-anchorvale-lane-anchorvale-lane,4,2,130,HDB Executive,Apartment,2002,610000,21
Blk 150A Yung Ho Spring II,https://www.srx.com.sg/listings/100705241/for-sale-yung-ho-spring-ii-yung-ho-spring-ii,1,None,47,2 Room,Standard,2019,610000,4
Blk 544 Jurong West Street 42,https://www.srx.com.sg/listings/94951391/for-sale-jurong-west-street-42-hdb-3room-for-sale-in-popular-location,2,2,74,3 Room,Model A(modified),1984,480000,39
Blk 429B Orchid Spring @ Yishun,https://www.srx.com.sg/listings/100687501/for-sale-orchid-spring-yishun-charming-blk-429b-yishun-home-for-sale-dream-home,3,2,92,4 Room,Model A,2015,480000,8
Blk 30 Marine Crescent Ville,https://www.srx.com.sg/listings/100701961/for-sale-marine-crescent-ville-hdb-3room-improved-besides-tao-nan-school,3,2,76,3 Room,Improved,1975,480000,48
Blk 25B Jalan Membina,https://www.srx.com.sg/listings/99406111/for-sale-jalan-membina-jalan-membina,3,2,110,5 Room,Improved,2009,599000,14
Blk 30 Jalan Klinik,https://www.srx.com.sg/listings/100534231/for-sale-jalan-klinik-jalan-klinik,3,1,68,3 Room,Simplified,1969,599000,54
Blk 678B Punggol Drive,https://www.srx.com.sg/listings/100695841/for-sale-punggol-drive-4-room-hdb-got-sale,3,2,93,4 Room,Model A,2016,599000,7
Blk 468C Admiralty Drive,https://www.srx.com.sg/listings/100220651/for-sale-admiralty-drive-admiralty-drive,4,2,137,HDB Executive,Apartment,2001,650000,22
Blk 351B Canberra Road,https://www.srx.com.sg/listings/98727311/for-sale-canberra-road-5i-coner-351b-canberra-ground-flr,3,2,110,5 Room,Improved,2001,650000,22
Blk 324 Tah Ching Road,https://www.srx.com.sg/listings/100052921/for-sale-tah-ching-road-tah-ching-road,4,2,122,5 Room,Improved,1997,650000,26
Blk 623 Senja Road,https://www.srx.com.sg/listings/100644811/for-sale-senja-road-senja-road,3,2,110,5 Room,Improved,2001,1550000,22
Blk 448 Jade Spring @ Yishun,https://www.srx.com.sg/listings/100403791/for-sale-jade-spring-yishun-4a-corner-yishun-448-nicely-reno,3,2,92,4 Room,Model A,2012,1550000,11
Blk 365 Clementi Avenue 2,https://www.srx.com.sg/listings/98519721/for-sale-clementi-avenue-2-clementi-avenue-2,2,2,67,3 Room,New Generation,1978,1550000,45
Blk 365 Clementi Avenue 2,https://www.srx.com.sg/listings/98507341/for-sale-clementi-avenue-2-clementi-avenue-2,2,2,67,None,None,None,560000,None
Blk 9B Tiong Bahru View,https://www.srx.com.sg/listings/100552001/for-sale-tiong-bahru-view-boon-tiong-road,3,2,92,4 Room,Model A,2016,560000,7
Blk 219B Bedok Central,https://www.srx.com.sg/listings/99755511/for-sale-bedok-central-4a-corner-bedok-central-blk-219b,4,2,97,4 Room,Model A,2010,560000,13
Blk 9 Holland Avenue,https://www.srx.com.sg/listings/99945141/for-sale-holland-avenue-no-extension-corner-unit-with-2-bedrooms-1-util,3,2,65,3 Room,Improved,1974,540000,49
Blk 51 Lengkok Bahru,https://www.srx.com.sg/listings/99707581/for-sale-lengkok-bahru-nicely-renovated-corner-unit-as-good-as-showroom,3,2,122,5 Room,Improved,1986,540000,37
Blk 115 Jurong East Street 13,https://www.srx.com.sg/listings/100422861/for-sale-jurong-east-street-13-cheap-mid-floor-unit-selling-3xxk-only-grab,2,2,67,3 Room,New Generation,1981,540000,42
Blk 6 Hougang Avenue 3,https://www.srx.com.sg/listings/100327141/for-sale-hougang-avenue-3-no-extension-lift-hip-upgrading-works-completed,2,2,59,3 Room,Improved,1975,395000,48
Blk 732 Jurong West Street 73,https://www.srx.com.sg/listings/100459091/for-sale-jurong-west-street-73-4a-next-to-corner-blk-732-jurong-west,3,2,103,4 Room,Model A,1995,395000,28
Blk 58 Circuit Road,https://www.srx.com.sg/listings/99892591/for-sale-circuit-road-circuit-road,2,1,56,None,None,None,395000,None
Blk 407B Fernvale Road,https://www.srx.com.sg/listings/100269331/for-sale-fernvale-road-fernvale-road,3,2,110,5 Room,Model A,2005,560000,18
Blk 449B West Valley @ Bukit Batok,https://www.srx.com.sg/listings/99566031/for-sale-west-valley-bukit-batok-bukit-batok-west-avenue-9,3,2,93,4 Room,Model A,2019,560000,4
Blk 714 Jurong West Street 71,https://www.srx.com.sg/listings/100299341/for-sale-jurong-west-street-71-jurong-west-street-71,4,3,148,HDB Executive,Maisonette,1991,560000,32
Blk 321 Sembawang Close,https://www.srx.com.sg/listings/100478051/for-sale-sembawang-close-5i-corner-semb-close-321,3,2,123,5 Room,Improved,1999,569000,24
Blk 308A Ang Mo Kio Avenue 1,https://www.srx.com.sg/listings/100006651/for-sale-ang-mo-kio-avenue-1-ang-mo-kio-avenue-1,3,2,94,4 Room,Model A,2012,569000,11
Blk 182 Ang Mo Kio Avenue 5,https://www.srx.com.sg/listings/100705171/for-sale-ang-mo-kio-avenue-5-ang-mo-kio-avenue-5,3,2,68,3 Room,New Generation,1981,569000,42
Blk 221B Sumang Lane,https://www.srx.com.sg/listings/100705121/for-sale-sumang-lane-sumang-lane,1,1,37,2 Room,Model A,2018,700000,5
Blk 740 Tampines Street 72,https://www.srx.com.sg/listings/100705001/for-sale-tampines-street-72-tampines-street-72,3,2,141,HDB Executive,Apartment,1997,700000,26
Blk 93A Telok Blangah Street 31,https://www.srx.com.sg/listings/100704991/for-sale-telok-blangah-street-31-telok-blangah-street-31,2,2,68,3 Room,Model A,2018,700000,5
Blk 117 Simei Street 1,https://www.srx.com.sg/listings/100704971/for-sale-simei-street-1-simei-street-1,3,2,122,5 Room,Improved,1988,635000,35
Blk 758 Jurong West Street 74,https://www.srx.com.sg/listings/100704861/for-sale-jurong-west-street-74-jurong-west-street-74,4,2,124,5 Room,Improved,1996,635000,27
Blk 808 Woodlands Street 81,https://www.srx.com.sg/listings/99884911/for-sale-woodlands-street-81-woodlands-street-81,2,2,73,3 Room,Model A,1994,635000,29
Blk 828 Jurong West Street 81,https://www.srx.com.sg/listings/100704631/for-sale-jurong-west-street-81-jurong-west-street-81,4,2,145,HDB Executive,Apartment,1993,488000,30
Blk 1 Dover Road,https://www.srx.com.sg/listings/100688441/for-sale-dover-road-rare-corner-3i-for-sales,3,2,65,3 Room,Improved,1975,488000,48
Blk 13 Lorong 7 Toa Payoh,https://www.srx.com.sg/listings/100598191/for-sale-lorong-7-toa-payoh-lorong-7-toa-payoh,1,2,66,3 Room,Improved,1970,488000,53
Blk 561A Spring Haven @ Jurong,https://www.srx.com.sg/listings/100703301/for-sale-spring-haven-jurong-jurong-west-street-42,2,2,68,None,None,None,458000,None
Blk 9 City View @ Boon Keng,https://www.srx.com.sg/listings/96208961/for-sale-city-view-boon-keng-boon-keng-road,3,2,107,5 Room,Model A,2011,458000,12
Blk 1 Dover Road,https://www.srx.com.sg/listings/100688341/for-sale-dover-road-rare-corner-3i-for-sales,3,2,65,3 Room,Improved,1975,458000,48
Blk 228C Compassvale Walk,https://www.srx.com.sg/listings/99104811/for-sale-compassvale-walk-compassvale-walk,3,2,121,5 Room,Model A,2000,580000,23
Blk 186B Fengshan Greenville,https://www.srx.com.sg/listings/99868881/for-sale-fengshan-greenville-bedok-north-street-4,3,2,93,4 Room,Model A,2018,580000,5
Blk 916 Hougang Avenue 9,https://www.srx.com.sg/listings/100521701/for-sale-hougang-avenue-9-hougang-avenue-9,3,2,120,None,None,None,580000,None
Blk 104 Townerville,https://www.srx.com.sg/listings/100688251/for-sale-townerville-rare-squarish-layout-109sqm-4room-corner-flat-in-m,3,2,109,4 Room,Model A,1983,460000,40
Blk 1 Dover Road,https://www.srx.com.sg/listings/100688271/for-sale-dover-road-rare-corner-3i-for-sales,3,2,65,3 Room,Improved,1975,460000,48
Blk 1 Dover Road,https://www.srx.com.sg/listings/100688241/for-sale-dover-road-rare-corner-3i-for-sales,3,2,65,3 Room,Improved,1975,460000,48
Blk 93A Telok Blangah Street 31,https://www.srx.com.sg/listings/100698541/for-sale-telok-blangah-street-31-telok-blangah-street-31,2,2,68,3 Room,Model A,2018,570000,5
Blk 91A Telok Blangah Street 31,https://www.srx.com.sg/listings/100292761/for-sale-telok-blangah-street-31-telok-blangah-street-31,3,2,93,4 Room,Model A,2018,570000,5
Blk 440D Bukit Batok West Avenue 8,https://www.srx.com.sg/listings/100301971/for-sale-bukit-batok-west-avenue-8-priced-to-sell-rare-unblocked-greenery-view,3,2,112,5 Room,Improved,2019,570000,4
Blk 297 Punggol Central,https://www.srx.com.sg/listings/100705921/for-sale-punggol-central-297-punggol-central,3,2,110,5 Room,Model A,2003,820000,20
Blk 210 Yishun Street 21,https://www.srx.com.sg/listings/100209281/for-sale-yishun-street-21-yishun-street-21,2,2,67,3 Room,New Generation,1985,820000,38
Blk 534 Ang Mo Kio Avenue 10,https://www.srx.com.sg/listings/100647241/for-sale-ang-mo-kio-avenue-10-ang-mo-kio-avenue-10,3,2,93,4 Room,Model A,1980,820000,43
Blk 100 Lorong 1 Toa Payoh,https://www.srx.com.sg/listings/99807151/for-sale-lorong-1-toa-payoh-lorong-1-toa-payoh,2,2,68,3 Room,Improved,1970,600000,53
Blk 310C Punggol Walk,https://www.srx.com.sg/listings/100614981/for-sale-punggol-walk-new-listing-spacious-3-bedrooms-near-mrt-n-mall-f,3,2,92,4 Room,Model A,2016,600000,7
Blk 2A Upper Boon Keng Road,https://www.srx.com.sg/listings/100690671/for-sale-upper-boon-keng-road-spacious-unit-with-unblocked-view-stonethrow-to-m,3,2,110,5 Room,Improved,2006,600000,17
Blk 620 Bukit Batok Central,https://www.srx.com.sg/listings/100700001/for-sale-bukit-batok-central-bukit-batok-central,3,2,110,5 Room,Improved,2003,430000,20
Blk 415 Eunos Road 5,https://www.srx.com.sg/listings/100651931/for-sale-eunos-road-5-eunos-road-5,3,3,147,5 Room,Maisonette,1984,430000,39
Blk 240 Jurong East Street 21,https://www.srx.com.sg/listings/100679341/for-sale-jurong-east-street-21-jurong-east-street-21,3,2,121,5 Room,Improved,1982,430000,41
Blk 204 Petir Road,https://www.srx.com.sg/listings/100012661/for-sale-petir-road-petir-road,3,2,106,4 Room,Model A,1988,550000,35
Blk 153 Gangsa Road,https://www.srx.com.sg/listings/99242941/for-sale-gangsa-road-gangsa-road,3,2,121,5 Room,Improved,1998,550000,25
Blk 178 Lompang Road,https://www.srx.com.sg/listings/100705741/for-sale-lompang-road-no-extension-quiet-facing-point-block-corner-unit,3,2,90,4 Room,Model A,2001,550000,22
Blk 550 Jurong West Street 42,https://www.srx.com.sg/listings/100661131/for-sale-jurong-west-street-42-jurong-west-street-42,3,2,104,4 Room,Model A,1985,590000,38
Blk 38 Upper Boon Keng Road,https://www.srx.com.sg/listings/100705681/for-sale-upper-boon-keng-road-point-blk-very-high-floor-5rm-flat-for-sale,3,2,117,5 Room,Model A,1976,590000,47
Blk 523 Choa Chu Kang Street 51,https://www.srx.com.sg/listings/97584591/for-sale-choa-chu-kang-street-51-renovated-unblocked-huge-exec-apt-unit-for-sale-at,4,2,143,None,None,None,590000,None
Blk 499A Tampines Ria,https://www.srx.com.sg/listings/100297621/for-sale-tampines-ria-tampines-avenue-9,1,1,46,2 Room,Model A,2014,450000,9
Blk 661A Edgedale Plains,https://www.srx.com.sg/listings/100705601/for-sale-edgedale-plains-your-dream-home-awaits,2,2,67,3 Room,Model A(modified),2017,450000,6
Blk 606 Ang Mo Kio Avenue 5,https://www.srx.com.sg/listings/100574861/for-sale-ang-mo-kio-avenue-5-ang-mo-kio-avenue-5,2,2,67,3 Room,New Generation,1980,450000,43
Blk 108C Eastlawn @ Canberra,https://www.srx.com.sg/listings/100162721/for-sale-eastlawn-canberra-canberra-walk,3,2,113,None,None,None,670000,None
Blk 5 Ghim Moh Road,https://www.srx.com.sg/listings/99442571/for-sale-ghim-moh-road-new-list-for-sales,2,1,65,3 Room,Improved,1976,670000,47
Blk 847 Woodlands Street 82,https://www.srx.com.sg/listings/100610601/for-sale-woodlands-street-82-beautiful-designers-home-for-sale-must-view,4,2,176,HDB Executive,Apartment,1995,670000,28
Blk 106 Jalan Rajah,https://www.srx.com.sg/listings/100135651/for-sale-jalan-rajah-jalan-rajah,4,3,150,HDB Executive,Maisonette,1984,450000,39
Blk 350 Ang Mo Kio Street 32,https://www.srx.com.sg/listings/100643681/for-sale-ang-mo-kio-street-32-ang-mo-kio-street-32,3,2,95,4 Room,Model A,2001,450000,22
Blk 106 Rivervale Walk,https://www.srx.com.sg/listings/100676611/for-sale-rivervale-walk-rivervale-walk,3,2,100,4 Room,Model A,1999,450000,24
Blk 3 Ghim Moh Road,https://www.srx.com.sg/listings/100652041/for-sale-ghim-moh-road-ghim-moh-road,2,1,65,3 Room,Improved,1976,680000,47
Blk 117 Simei Street 1,https://www.srx.com.sg/listings/100339291/for-sale-simei-street-1-simei-street-1,3,2,122,5 Room,Model A,1988,680000,35
Blk 9B Tiong Bahru View,https://www.srx.com.sg/listings/91618701/for-sale-tiong-bahru-view-boon-tiong-road,3,2,112,5 Room,Improved,2016,680000,7
Blk 532 Woodlands Drive 14,https://www.srx.com.sg/listings/100692561/for-sale-woodlands-drive-14-woodlands-drive-14,3,2,105,None,None,None,915000,None
Blk 503 Ang Mo Kio Avenue 5,https://www.srx.com.sg/listings/100606211/for-sale-ang-mo-kio-avenue-5-ang-mo-kio-avenue-5,2,2,68,3 Room,New Generation,1981,915000,42
Blk 670 Woodlands Drive 71,https://www.srx.com.sg/listings/100197391/for-sale-woodlands-drive-71-woodlands-drive-71,3,2,131,None,None,None,915000,None
Blk 138 Marsiling Road,https://www.srx.com.sg/listings/100494621/for-sale-marsiling-road-marsiling-road,5,3,170,5 Room,Maisonette,1995,700000,28
Blk 189A Rivervale Drive,https://www.srx.com.sg/listings/99335561/for-sale-rivervale-drive-rivervale-drive,4,2,131,HDB Executive,Apartment,2000,700000,23
Blk 893A Woodlands Drive 50,https://www.srx.com.sg/listings/100492571/for-sale-woodlands-drive-50-woodlands-drive-50,4,2,138,HDB Executive,Apartment,1996,700000,27
Blk 406 Sin Ming Avenue,https://www.srx.com.sg/listings/100209061/for-sale-sin-ming-avenue-sin-ming-avenue,3,2,84,4 Room,Simplified,1987,800000,36
Blk 573B Woodlands Drive 16,https://www.srx.com.sg/listings/100068361/for-sale-woodlands-drive-16-woodlands-drive-16,1,1,47,2 Room,Model A,2018,800000,5
Blk 364 Woodlands Avenue 5,https://www.srx.com.sg/listings/100472881/for-sale-woodlands-avenue-5-woodlands-avenue-5,4,2,120,5 Room,Improved,1996,800000,27
Blk 175C Punggol Field,https://www.srx.com.sg/listings/100574831/for-sale-punggol-field-punggol-field,3,2,110,None,None,None,680000,None
Blk 449 Ang Mo Kio Avenue 10,https://www.srx.com.sg/listings/99964541/for-sale-ang-mo-kio-avenue-10-fully-renovated-all-races-eligible-no-extension,2,2,68,3 Room,New Generation,1979,680000,44
Blk 442B Bukit Batok West Avenue 8,https://www.srx.com.sg/listings/100438441/for-sale-bukit-batok-west-avenue-8-corner-unit-unblocked-facing,3,2,92,4 Room,Model A,2019,680000,4
Blk 448 Choa Chu Kang Avenue 4,https://www.srx.com.sg/listings/100452781/for-sale-choa-chu-kang-avenue-4-high-floor-corner-unit-unblocked-facing-5-years,3,3,139,HDB Executive,Maisonette,1997,580000,26
Blk 519A Centrale 8 At Tampines,https://www.srx.com.sg/listings/100366741/for-sale-centrale-8-at-tampines-tampines-central-8,3,2,83,None,None,None,580000,None
Blk 785B Woodlands Rise,https://www.srx.com.sg/listings/100615601/for-sale-woodlands-rise-woodlands-rise,3,2,93,4 Room,Model A,2018,580000,5
Blk 542 Serangoon North Avenue 4,https://www.srx.com.sg/listings/100153971/for-sale-serangoon-north-avenue-4-serangoon-north-avenue-4,3,3,149,HDB Executive,Maisonette,1992,668000,31
Blk 34 Upper Cross Street,https://www.srx.com.sg/listings/100071571/for-sale-upper-cross-street-upper-cross-street,2,1,65,3 Room,Improved,1975,668000,48
Blk 208C Punggol Sails,https://www.srx.com.sg/listings/100705861/for-sale-punggol-sails-punggol-place,2,2,68,3 Room,Model A,2014,668000,9
Blk 285B Toh Guan Road,https://www.srx.com.sg/listings/100705781/for-sale-toh-guan-road-toh-guan-road,3,2,103,4 Room,Model A,1998,395000,25
Blk 627 Senja Road,https://www.srx.com.sg/listings/100690181/for-sale-senja-road-627-high-floor-5i-premium-hdb-at-senja-road,3,2,110,5 Room,Improved,2004,395000,19
Blk 103 Bedok Reservoir Road,https://www.srx.com.sg/listings/100690031/for-sale-bedok-reservoir-road-beautiful-scenic-view-very-quiet-impeccable-mov,2,2,753,2 Room,Standard,1985,395000,38
Blk 115 Lorong 1 Toa Payoh,https://www.srx.com.sg/listings/100566221/for-sale-lorong-1-toa-payoh-lorong-1-toa-payoh,2,1,65,3 Room,Improved,1967,380000,56
Blk 160 Jalan Teck Whye,https://www.srx.com.sg/listings/100705401/for-sale-jalan-teck-whye-jalan-teck-whye,3,2,101,4 Room,Model A,1998,380000,25
Blk 457 Yishun Street 41,https://www.srx.com.sg/listings/99314501/for-sale-yishun-street-41-yishun-street-41,3,2,93,4 Room,Model A,2013,380000,10
Blk 602 Ang Mo Kio Avenue 5,https://www.srx.com.sg/listings/99351761/for-sale-ang-mo-kio-avenue-5-high-floor-breezy-3-room-flat,2,2,67,3 Room,New Generation,1980,748000,43
Blk 34 Upper Cross Street,https://www.srx.com.sg/listings/100705321/for-sale-upper-cross-street-upper-cross-street,3,1,65,None,None,None,748000,None
Blk 188 Punggol Central,https://www.srx.com.sg/listings/100040571/for-sale-punggol-central-punggol-central,3,2,128,HDB Executive,Apartment,2004,748000,19
Blk 627 Hougang Avenue 8,https://www.srx.com.sg/listings/99552891/for-sale-hougang-avenue-8-hougang-avenue-8,3,2,122,5 Room,Improved,1986,770000,37
Blk 475A Parkland Residences,https://www.srx.com.sg/listings/100267661/for-sale-parkland-residences-upper-serangoon-crescent,3,2,92,4 Room,Model A,2014,770000,9
Blk 308A Ang Mo Kio Avenue 1,https://www.srx.com.sg/listings/100006651/for-sale-ang-mo-kio-avenue-1-ang-mo-kio-avenue-1,3,2,94,4 Room,Model A,2012,770000,11
Blk 353 Hougang Avenue 7,https://www.srx.com.sg/listings/100631611/for-sale-hougang-avenue-7-hougang-avenue-7,3,3,148,HDB Executive,Maisonette,1984,405000,39
Blk 407 Fajar Road,https://www.srx.com.sg/listings/92812341/for-sale-fajar-road-fajar-road,3,2,84,None,None,None,405000,None
Blk 233 Jurong East Street 21,https://www.srx.com.sg/listings/100539861/for-sale-jurong-east-street-21-jurong-east-street-21,2,2,67,3 Room,New Generation,1982,405000,41
Blk 184A Marsiling Greenview,https://www.srx.com.sg/listings/100696051/for-sale-marsiling-greenview-high-floor-well-maintained-newly-mop,3,2,93,4 Room,Model A,2018,750000,5
Blk 513A Saraca Breeze @ Yishun,https://www.srx.com.sg/listings/100648401/for-sale-saraca-breeze-yishun-yishun-street-51,3,2,113,None,None,None,750000,None
Blk 170 Bukit Batok West Avenue 8,https://www.srx.com.sg/listings/100538031/for-sale-bukit-batok-west-avenue-8-bukit-batok-west-avenue-8,3,2,134,5 Room,Model A,1985,750000,38
Blk 161 Bishan Street 13,https://www.srx.com.sg/listings/100587151/for-sale-bishan-street-13-bishan-street-13,4,2,121,5 Room,Improved,1988,755000,35
Blk 232A Sumang Lane,https://www.srx.com.sg/listings/99713821/for-sale-sumang-lane-a-vibrant-live-work-play-learn-ecosystem-in-punggo,3,2,113,5 Room,Improved,2018,755000,5
Blk 893A Woodlands Drive 50,https://www.srx.com.sg/listings/100497071/for-sale-woodlands-drive-50-woodlands-drive-50,4,2,138,HDB Executive,Apartment,1996,755000,27
Blk 431 Jurong West Avenue 1,https://www.srx.com.sg/listings/97123571/for-sale-jurong-west-avenue-1-jurong-west-avenue-1,3,2,104,4 Room,Model A,1985,720000,38
Blk 201D Tampines Street 21,https://www.srx.com.sg/listings/96184711/for-sale-tampines-street-21-live-close-to-all,2,2,68,3 Room,New Generation,1987,720000,36
Blk 989B Jurong West Street 93,https://www.srx.com.sg/listings/100645981/for-sale-jurong-west-street-93-4a-jurong-w-corner-blk-989b,3,2,93,4 Room,Model A,2008,720000,15
Blk 322B Punggol Bayview,https://www.srx.com.sg/listings/100404761/for-sale-punggol-bayview-322b-sumang-walk-punggol-bayview-hdb,3,2,93,4 Room,Improved,2019,738000,4
Blk 117 Simei Street 1,https://www.srx.com.sg/listings/100204121/for-sale-simei-street-1-simei-street-1,3,2,122,5 Room,Improved,1988,738000,35
Blk 405 Sun Plaza Green,https://www.srx.com.sg/listings/99934821/for-sale-sun-plaza-green-tampines-street-41,2,1,60,3 Room,Improved,1985,738000,38
Blk 465 Upper Serangoon Road,https://www.srx.com.sg/listings/100586401/for-sale-upper-serangoon-road-upper-serangoon-road,4,2,124,5 Room,Improved,1992,799000,31
Blk 22 Havelock Road,https://www.srx.com.sg/listings/100306081/for-sale-havelock-road-havelock-road,3,1,64,3 Room,Improved,1969,799000,54
Blk 925 Hougang Street 91,https://www.srx.com.sg/listings/100347321/for-sale-hougang-street-91-hougang-street-91,3,2,101,4 Room,Model A,1998,799000,25
Blk 167A Parc Lumiere,https://www.srx.com.sg/listings/100030621/for-sale-parc-lumiere-simei-lane,3,2,111,5 Room,Improved,2011,799000,12
Blk 678B Punggol Drive,https://www.srx.com.sg/listings/100695841/for-sale-punggol-drive-4-room-hdb-got-sale,3,2,93,4 Room,Model A,2016,799000,7
Blk 674 Hougang Avenue 8,https://www.srx.com.sg/listings/100644901/for-sale-hougang-avenue-8-high-floor-near-amenities-3mth-extension-open-t,2,2,65,3 Room,Simplified,1987,799000,36
