Title,Link,Bed,Toilet,Size,Room,Model,Built,Price,Remaing
Blk 57 Lorong 5 Toa Payoh,https://www.srx.com.sg/listings/100213381/for-sale-lorong-5-toa-payoh-lorong-5-toa-payoh,2,1,61,3 Room,Improved,1973,1000000,50
Blk 130 Bukit Batok West Avenue 6,https://www.srx.com.sg/listings/100294221/for-sale-bukit-batok-west-avenue-6-bukit-batok-west-avenue-6,3,2,103,4 Room,Model A,1984,1000000,39
Blk 980B Buangkok Crescent,https://www.srx.com.sg/listings/100618801/for-sale-buangkok-crescent-buangkok-crescent,3,2,110,None,None,None,1000000,None
Blk 320 Sembawang Close,https://www.srx.com.sg/listings/97175101/for-sale-sembawang-close-sembawang-close,3,2,100,None,None,None,450000,None
Blk 826 Yishun Street 81,https://www.srx.com.sg/listings/100543731/for-sale-yishun-street-81-pure-selling-serious-seller-and-can-contra-no-e,3,2,146,HDB Executive,Maisonette,1988,450000,35
Blk 34 Upper Cross Street,https://www.srx.com.sg/listings/100057901/for-sale-upper-cross-street-3-room-flat-for-sale-motivated-seller,2,1,65,3 Room,Improved,1975,450000,48
Blk 341A Sembawang Close,https://www.srx.com.sg/listings/100295051/for-sale-sembawang-close-sembawang-close,3,2,111,None,None,None,760000,None
Blk 259B Compassvale Road,https://www.srx.com.sg/listings/100488621/for-sale-compassvale-road-compassvale-road,3,2,85,4 Room,Model A2,2001,760000,22
Blk 436D Fernvale Road,https://www.srx.com.sg/listings/100533751/for-sale-fernvale-road-fernvale-road,2,2,70,3 Room,Model A,2010,760000,13
Blk 104B Edgefield Plains,https://www.srx.com.sg/listings/100488481/for-sale-edgefield-plains-edgefield-plains,3,2,110,5 Room,Improved,2003,599000,20
Blk 326C Punggol Vue,https://www.srx.com.sg/listings/100277961/for-sale-punggol-vue-sumang-walk,2,2,68,3 Room,Model A,2018,599000,5
Blk 673C Edgefield Plains,https://www.srx.com.sg/listings/100543471/for-sale-edgefield-plains-edgefield-plains,3,2,90,4 Room,Model A,2015,599000,8
Blk 76 Bedok North Road,https://www.srx.com.sg/listings/100421581/for-sale-bedok-north-road-bedok-north-road,2,1,59,3 Room,Improved,1978,788000,45
Blk 453A West Terra @ Bukit Batok,https://www.srx.com.sg/listings/100445941/for-sale-west-terra-bukit-batok-bukit-batok-west-avenue-6,4,2,115,5 Room,Improved,2019,788000,4
Blk 561B Spring Haven @ Jurong,https://www.srx.com.sg/listings/100264081/for-sale-spring-haven-jurong-jurong-west-street-42,3,2,93,4 Room,Model A,2018,788000,5
Blk 9 City View @ Boon Keng,https://www.srx.com.sg/listings/100569181/for-sale-city-view-boon-keng-boon-keng-road,3,3,107,5 Room,Model A,2011,518000,12
Blk 19 Eunos Crescent,https://www.srx.com.sg/listings/100252741/for-sale-eunos-crescent-eunos-crescent,6,4,130,HDB Executive,Jumbo,1977,518000,46
Blk 109 Spottiswoode Park Road,https://www.srx.com.sg/listings/99321071/for-sale-spottiswoode-park-road-spottiswoode-park-road,3,2,118,5 Room,Standard,1979,518000,44
Blk 50 Teban Gardens Road,https://www.srx.com.sg/listings/100562231/for-sale-teban-gardens-road-teban-gardens-road,3,3,146,HDB Executive,Maisonette,1986,420000,37
Blk 10 Jalan Bukit Ho Swee,https://www.srx.com.sg/listings/96063021/for-sale-jalan-bukit-ho-swee-prime-location-with-demand,1,1,35,2 Room,Standard,1971,420000,52
Blk 15 Upper Boon Keng Road,https://www.srx.com.sg/listings/100674861/for-sale-upper-boon-keng-road-upper-boon-keng-road,3,2,88,4 Room,Improved,1975,420000,48
Blk 366A Sembawang Crescent,https://www.srx.com.sg/listings/100562701/for-sale-sembawang-crescent-sembawang-crescent,1,1,48,2 Room,Model A,2019,580000,4
Blk 442 Ang Mo Kio Avenue 10,https://www.srx.com.sg/listings/99971001/for-sale-ang-mo-kio-avenue-10-ang-mo-kio-avenue-10,2,2,67,None,None,None,580000,None
Blk 448 Choa Chu Kang Avenue 4,https://www.srx.com.sg/listings/100164911/for-sale-choa-chu-kang-avenue-4-choa-chu-kang-avenue-4,4,3,143,HDB Executive,Maisonette,1997,580000,26
Blk 59 Strathmore Avenue,https://www.srx.com.sg/listings/100326721/for-sale-strathmore-avenue-strathmore-avenue,3,2,96,4 Room,Model A,2000,630000,23
Blk 117 Serangoon North Avenue 1,https://www.srx.com.sg/listings/100504061/for-sale-serangoon-north-avenue-1-117-serangoon-north-avenue-1,3,2,121,5 Room,Improved,1985,630000,38
Blk 328 Woodlands Street 32,https://www.srx.com.sg/listings/100603691/for-sale-woodlands-street-32-woodlands-street-32,4,3,163,None,None,None,630000,None
Blk 173B Punggol Field,https://www.srx.com.sg/listings/100692961/for-sale-punggol-field-punggol-field,3,None,110,5 Room,Improved,2003,636000,20
Blk 162 Simei Road,https://www.srx.com.sg/listings/100692921/for-sale-simei-road-simei-road,3,None,122,5 Room,Improved,1989,636000,34
Blk 116 Bedok North Road,https://www.srx.com.sg/listings/100045911/for-sale-bedok-north-road-bedok-north-road,3,None,88,3 Room,New Generation,1978,636000,45
Blk 567 Hougang Street 51,https://www.srx.com.sg/listings/100518761/for-sale-hougang-street-51-hougang-street-51,3,2,99,4 Room,New Generation,1997,428000,26
Blk 529 Jurong West Street 52,https://www.srx.com.sg/listings/100483831/for-sale-jurong-west-street-52-jurong-west-street-52,3,2,118,5 Room,Improved,1982,428000,41
