MDollarHse_Coordinates,Fairprice_Count,Hos_Count,Malls_Count,MRT_Count,Parks_Count,PriSch_Count,SecSch_Count,Tertiary_Count,Uni_Count
"1.429836, 103.7765617",1.0,2.0,,1.0,,1.0,1.0,,
"1.335606, 103.85002",1.0,10.0,1.0,1.0,,1.0,,,
"1.29469995, 103.8092269",1.0,1.0,,1.0,,1.0,2.0,,
"1.3515453, 103.9448318",1.0,7.0,3.0,1.0,,1.0,1.0,,
"1.31637345, 103.8859462",1.0,6.0,,1.0,,1.0,1.0,,
"1.2947919, 103.8082497",1.0,1.0,,1.0,,1.0,,,
"1.2900801, 103.8293057",1.0,5.0,1.0,2.0,,,,,
"1.35592825, 103.845164",1.0,2.0,,,,1.0,2.0,,
"1.3078658, 103.8885715",1.0,2.0,,1.0,,,2.0,,
"1.35433855, 103.8684271",1.0,5.0,,,,,,1.0,
"1.306836669, 103.7949123",1.0,3.0,1.0,,,,,,
"1.285634, 103.8260893",1.0,8.0,1.0,1.0,1.0,1.0,,,
"1.3270424, 103.8565953",1.0,2.0,,,,,,,
"1.28340775, 103.8288892",1.0,9.0,1.0,1.0,,1.0,,,
"1.2810987, 103.8299525",1.0,3.0,,,,,,,
"1.3592269, 103.8435598",1.0,2.0,,,1.0,,1.0,,
"1.3604704, 103.8439112",1.0,2.0,,,2.0,,,,
"1.35517855, 103.8468824",1.0,2.0,,,,1.0,2.0,,
"1.27531455, 103.8392052",1.0,7.0,,,,1.0,,,
"1.3473414, 103.8504933",1.0,5.0,1.0,1.0,,1.0,1.0,,
"1.28939675, 103.8289208",1.0,8.0,1.0,2.0,,,,,
"1.3277175, 103.8560362",1.0,,,,,,,,
"1.32769355, 103.856207",1.0,,,,,,,,
"1.2938117, 103.8078122",1.0,1.0,,1.0,,1.0,,,
"1.30702695, 103.8610374",1.0,3.0,,1.0,,,,,
"1.308258354, 103.7965172",1.0,4.0,1.0,1.0,,,,,
"1.3092395, 103.7856974",1.0,6.0,2.0,,,,,,
"1.3497022, 103.8513507",1.0,5.0,1.0,1.0,,2.0,1.0,,
"1.2939101, 103.8045221",1.0,1.0,,1.0,,1.0,,,
"1.3580767, 103.8481948",1.0,2.0,,,1.0,,,,
"1.31040465, 103.7918536",1.0,7.0,2.0,2.0,,,,,
"1.2943763, 103.8044831",1.0,1.0,,1.0,,1.0,,,
"1.2836184, 103.8282827",1.0,9.0,1.0,1.0,,1.0,,,
"1.29486925, 103.8049262",1.0,1.0,,1.0,,1.0,,,
"1.3271959, 103.856112",1.0,1.0,,,,,,,
"1.3119428, 103.7646163",1.0,7.0,3.0,1.0,,1.0,1.0,,
"1.2949669, 103.803498",1.0,1.0,,1.0,,1.0,,,
"1.34485265, 103.8483917",1.0,6.0,,,,1.0,1.0,,
"1.29587985, 103.8094605",1.0,1.0,,1.0,,1.0,,,
"1.35673585, 103.8433772",1.0,2.0,,,,1.0,2.0,,
"1.28286315, 103.8295469",1.0,9.0,1.0,1.0,,1.0,,,
"1.3486161, 103.8518466",1.0,7.0,1.0,1.0,,2.0,2.0,,
"1.35437345, 103.8690573",1.0,5.0,,,,,,1.0,
"1.34940615, 103.852287",1.0,6.0,1.0,1.0,,1.0,1.0,,
"1.2736569, 103.806568",1.0,4.0,,2.0,,1.0,,,
"1.41900665, 103.8405845",1.0,4.0,1.0,,,2.0,2.0,,
"1.3529683, 103.8675894",1.0,2.0,,1.0,,1.0,,1.0,
"1.3460976, 103.8504651",1.0,7.0,,,,1.0,1.0,,
"1.3505662, 103.8520485",1.0,6.0,1.0,1.0,,1.0,1.0,,
"1.3353046, 103.8654959",1.0,,,,,1.0,1.0,,
"1.3343647, 103.8653267",1.0,2.0,1.0,,,1.0,1.0,1.0,
"1.33472135, 103.8655948",1.0,2.0,1.0,,,1.0,1.0,1.0,
"1.4409042, 103.7940081",1.0,3.0,2.0,,,1.0,1.0,,
"1.3512899, 103.8677907",1.0,2.0,,1.0,,1.0,1.0,1.0,
"1.28349635, 103.8260458",1.0,8.0,1.0,1.0,1.0,1.0,,,
"1.3145027, 103.7635208",1.0,6.0,3.0,1.0,,1.0,1.0,,
