Year,Town,Flat_Type,Price
2017,TAMPINES,5 ROOM,553607.8319559229
2017,TAMPINES,EXECUTIVE,662849.7712418301
2017,TAMPINES,MULTI-GENERATION,830000.0
2017,TOA PAYOH,2 ROOM,216478.14285714287
2017,TOA PAYOH,3 ROOM,318334.85714285716
2017,TOA PAYOH,4 ROOM,577356.6913043478
2017,TOA PAYOH,5 ROOM,798536.7594936709
2017,TOA PAYOH,EXECUTIVE,840154.2222222222
2017,WOODLANDS,2 ROOM,188000.0
2017,WOODLANDS,3 ROOM,267364.7012987013
2017,WOODLANDS,4 ROOM,346036.67496542184
2017,WOODLANDS,5 ROOM,417287.8185483871
2017,WOODLANDS,EXECUTIVE,608655.4394904459
2017,YISHUN,2 ROOM,236350.0
2017,YISHUN,3 ROOM,281051.245
2017,YISHUN,4 ROOM,354176.8459214502
2017,YISHUN,5 ROOM,461349.1929824561
2017,YISHUN,EXECUTIVE,589592.0
2017,YISHUN,MULTI-GENERATION,697500.0
2018,ANG MO KIO,2 ROOM,212500.0
2018,ANG MO KIO,3 ROOM,295067.81785063754
2018,ANG MO KIO,4 ROOM,491907.453815261
2018,ANG MO KIO,5 ROOM,704653.3701657458
2018,ANG MO KIO,EXECUTIVE,822000.0
2018,BEDOK,2 ROOM,221952.38095238095
2018,BEDOK,3 ROOM,296320.106122449
2018,BEDOK,4 ROOM,432483.60113960115
2018,BEDOK,5 ROOM,586634.0917874397
2018,BEDOK,EXECUTIVE,717701.2753623188
2018,BISHAN,3 ROOM,354878.3783783784
2018,BISHAN,4 ROOM,563382.85
2018,BISHAN,5 ROOM,773260.7301587302
2018,BISHAN,EXECUTIVE,910042.2857142857
2018,BUKIT BATOK,3 ROOM,262982.2475884244
2018,BUKIT BATOK,4 ROOM,380350.59393939393
2018,BUKIT BATOK,5 ROOM,512937.9921875
2018,BUKIT BATOK,EXECUTIVE,609417.5520833334
2018,BUKIT MERAH,1 ROOM,184111.11111111112
2018,BUKIT MERAH,2 ROOM,240317.64705882352
2018,BUKIT MERAH,3 ROOM,374415.79238754325
2018,BUKIT MERAH,4 ROOM,650104.2419825073
2018,BUKIT MERAH,5 ROOM,779233.0050251256
2018,BUKIT PANJANG,2 ROOM,223625.0
2018,BUKIT PANJANG,3 ROOM,284614.14492753625
2018,BUKIT PANJANG,4 ROOM,378549.9176829268
2018,BUKIT PANJANG,5 ROOM,481678.5287356322
2018,BUKIT PANJANG,EXECUTIVE,588985.5172413794
2018,BUKIT TIMAH,3 ROOM,423055.55555555556
2018,BUKIT TIMAH,4 ROOM,640797.7142857143
2018,BUKIT TIMAH,5 ROOM,815235.2941176471
2018,BUKIT TIMAH,EXECUTIVE,954198.2857142857
2018,CENTRAL AREA,2 ROOM,253200.0
2018,CENTRAL AREA,3 ROOM,408846.2465753425
