School_Name,Location_Type,Blk_No,Address,Postal_Code,Full_Address,Long,Lat
Gan Eng Seng Primary School,School,100,Redhill Close,158901,"100 Redhill Close, Singapore 158901",103.8151318,1.28587415
Geylang Methodist School (Primary),School,4,Geylang East Central,389706,"4 Geylang East Central,Â Singapore 389706",103.8865243,1.3188429
Gongshang Primary School,School,1,Tampines Street 42,529176,"1 Tampines Street 42, Singapore 529176",103.9493055,1.3573371
Greendale Primary School,School,50,Edgedale Plains,828848,"50 Edgedale Plains, Singapore 828848",103.9126887,1.3961911
Greenridge Primary School,School,11,Jelapang Road,677744,"11 Jelapang Road, Singapore 677744",103.7680048,1.3856168
Greenwood Primary School,School,11,Woodlands Drive 62,737942,"11 Woodlands Drive 62, Singapore 737942",103.8047573,1.4399652
Guangyang Primary School,School,6,Bishan Street 12,579806,"6 Bishan Street 12, Singapore 579806",103.8493008,1.34577845
Haig Girls' School,School,51,Koon Seng Road,427072,"51 Koon Seng Road, Singapore 427072",103.9025669,1.31187845
Holy Innocents' Primary School,School,5,Lorong Low Koon,536451,"5 Lorong Low Koon, Singapore 536451",103.8938822,1.36708755
Henry Park Primary School,School,1,Holland Grove Road,278790,"1 Holland Grove Road, Singapore 278790",103.7842163,1.3170569
Hong Wen School,School,30,Towner Road,327829,"30 Towner Road, Singapore 327829",103.8575269,1.32178305
Horizon Primary School,School,61,Edgedale Plains,828819,"61 Edgedale Plains, Singapore 828819",103.9130699,1.3999704
Hougang Primary School,School,1,Hougang Street 93,534238,"No.1 Hougang Street 93, Singapore 534238",103.881072,1.3783581
Huamin Primary School,School,21,Yishun Ave 11,768857,"21 Yishun Ave 11, Singapore 768857",103.8442643,1.42686205
Innova Primary School,School,80,Woodlands Drive 17,737888,"80 Woodlands Drive 17, Singapore 737888",103.7907343,1.4292761
Jiemin Primary School,School,2,2 Yishun Street 71,768515,"No. 2 Yishun Street 71, Singapore 768515",103.8309333,1.4272375
Jing Shan Primary SchoolÂ [zh],School,5,Ang Mo Kio 52,569228,"5 Ang Mo Kio 52, Singapore 569228",103.85192,1.371927
Junyuan Primary School,School,2,Tampines Street 91,528906,"2 Tampines Street 91, Singapore 528906",103.9393972,1.347782
Jurong Primary School,School,320,Jurong East Street 32,609476,"320 Jurong East Street 32, Singapore 609476",103.7330556,1.3487249
Jurong West Primary School,School,30,Jurong West Street 61,648368,"30 Jurong West Street 61,Â  Singapore 648368",103.6990273,1.33931415
Juying Primary School,School,31,Jurong West Street 91,649037,"31 Jurong West Street 91, Singapore 649037",103.6882538,1.33875125
Keming Primary School,School,90,Bukit Batok East Ave 6,659762,"90 Bukit Batok East Ave 6, Singapore 659762",103.756399,1.3453422
Kheng Cheng School,School,15,Lorong 3 Toa Payoh,319580,"15 Lorong 3 Toa Payoh, Singapore 319580",103.8474423,1.33703365
Kong Hwa School,School,35,Guillemard Road,399772,"350 Guillemard Road, Singapore 399772",103.8780837,1.3093243
Kranji Primary School,School,11,Choa Chu Kang Street 54,689189,"11 Choa Chu Kang Street 54, Singapore 689189",103.7471551,1.39393915
Kuo Chuan Presbyterian Primary School,School,8,Bishan Street 13,579793,"8 Bishan Street 13, Singapore 579793",103.8550258,1.3492238
Lakeside Primary School,School,161,Corporation Walk,618310,"161 Corporation Walk, Singapore 618310",103.7179883,1.33834735
Lianhua Primary School,School,2,Bukit Batok Street 52,659243,"2 Bukit Batok Street 52, Singapore 659243",103.7540792,1.35386165
Maha Bodhi School,School,10,Ubi Avenue 1,408931,"10 Ubi Avenue 1, Singapore 408931",103.9015345,1.3284777
Maris Stella High School (Primary Section),School,25,Mount Vernon Road,368051,"25 Mount Vernon Road, Singapore 368051",103.8782516,1.34201595
Marsiling Primary School,School,31,Woodlands Centre Road,738927,"31 Woodlands Centre Rd, Singapore 738927",103.7733667,1.4341551
Marymount Convent School,School,20,Marymount Road,297754,"20 Marymount Road, Singapore 297754",103.8397563,1.3402824
Mayflower Primary School,School,6,Ang Mo Kio Ave 2,569948,"6 Ang Mo Kio Ave 2, Singapore 569948",103.8356462,1.3762526
Mee Toh School,School,21,Edgedale Plains,828867,"21 Edgedale Plains, Singapore 828867",103.9086441,1.3948454
Meridian Primary School,School,20,Pasir Ris Street 71,518798,"20 Pasir Ris Street 71, Singapore 518798",103.9351592,1.37603155
Methodist Girls' School (Primary),School,11,Blackmore Drive,599986,"11 Blackmore Drive, Singapore 599986",103.7835765,1.33284035
Montfort Junior School,School,52,Hougang Ave 8,538786,"52 Hougang Ave 8, Singapore 538786",103.8895368,1.37465235
Nan Chiau Primary School,School,50,Anchorvale Link,545080,"50 Anchorvale Link, Singapore 545080",103.8910424,1.39202675
Nan Hua Primary School,School,30,Jln Lempeng,128806,"30 Jln Lempeng, Singapore 128806",103.7616751,1.31983825
Nanyang Primary School,School,52,Kingâ€™s Road,268097,"52 Kingâ€™s Road, Singapore 268097",103.8082166,1.32083185
Ngee Ann Primary School,School,344,Marine Terrace,449149,"344 Marine Terrace, Singapore 449149",103.9179525,1.30554595
Naval Base Primary School,School,7,Yishun Ave 4,769028,"7 Yishun Ave 4, Singapore 769028",103.838461,1.4165306
New Town Primary School,School,30,Tanglin Halt Road,148812,"300 Tanglin Halt Road, Singapore 148812",103.7995719,1.29908525
Northland Primary School,School,15,Yishun Ave 4,769026,"15 Yishun Ave 4, Singapore 769026",103.840584,1.4212034
Northoaks Primary School,School,61,Sembawang Drive,757622,"61 Sembawang Drive, Singapore 757622",103.8135393,1.4569506
North Spring Primary School,School,1,Rivervale Street,545088,"1 Rivervale Street, Singapore 545088",103.9037892,1.3876014
North View Primary School,School,210,Yishun Avenue 6,768960,"210 Yishun Avenue 6, Singapore 768960",103.8486566,1.42773465
North Vista Primary School,School,20,Compassvale Link,544974,"20 Compassvale Link, Singapore 544974",103.8959771,1.3828948
Oasis Primary School,School,71,Edgefield Plains,828716,"71 Edgefield Plains, Singapore 828716",103.9109764,1.40465295
Opera Estate Primary School,School,48,Fidelio Street,458436,"48 Fidelio Street, Singapore 458436",103.923766,1.3196642
Palm View Primary School,School,150,Compassvale Bow,544822,"150 Compassvale Bow, Singapore 544822",103.8912122,1.3840612
Park View Primary School,School,60,Pasir Ris Drive 1,519524,"60 Pasir Ris Drive 1, Singapore 519524",103.9392671,1.3776122
Pasir Ris Primary School,School,5,Pasir Ris Street 21,518968,"5 Pasir Ris Street 21, Singapore 518968",103.9630263,1.37215285
Paya Lebar Methodist Girls' School (Primary),School,298,Lorong Ah Soo,536741,"298 Lorong Ah Soo, Singapore 536741",103.8849238,1.34993195
Pei Chun Public School,School,16,Lorong 7 Toa Payoh,319320,"16 Lorong 7 Toa Payoh, Singapore 319320",103.8557256,1.33712815
Pei Hwa Presbyterian Primary School,School,7,Pei Wah Avenue,597610,"7 Pei Wah Avenue, Singapore 597610",103.7762188,1.3380993
Pei Tong Primary School,School,15,Clementi Avenue 5,129857,"15 Clementi Avenue 5, Singapore 129857",103.7678409,1.31626635
Peiying Primary School,School,651,Yishun Ring Road,768687,"651 Yishun Ring Road, Singapore 768687",103.8303424,1.41751755
Pioneer Primary School,School,23,Jurong West Street 81,649076,"23 Jurong West Street 81, Singapore 649076",103.695679,1.3480678
Poi Ching School,School,21,Tampines Street 71,529067,"21 Tampines Street 71, Singapore 529067",103.9354999,1.3577705
Princess Elizabeth Primary School,School,30,Bukit Batok West Avenue 3,659163,"30 Bukit Batok West Avenue 3,Â Singapore 659163",103.7409542,1.3493822
Punggol Cove Primary School,School,52,Sumang Walk,828674,"52 Sumang Walk, Singapore 828674",103.8992443,1.41177135
Punggol Green Primary School,School,98,Punggol Walk,828772,"98 Punggol Walk, Singapore 828772",103.8985502,1.40195935
Punggol Primary School,School,61,Hougang Avenue 8,538787,"61 Hougang Avenue 8, Singapore 538787",103.8947545,1.37813115
Punggol View Primary School,School,9,Punggol Place,828845,"9 Punggol Place, Singapore 828845",103.9052658,1.40532215
Qifa Primary School,School,50,West Coast Avenue,128104,"50 West Coast Avenue, Singapore 128104",103.756965,1.31280555
Qihua Primary School,School,5,Woodlands Street 81,738525,"5 Woodlands Street 81, Singapore 738525",103.7883337,1.4420502
Queenstown Primary School,School,310,Margaret Drive,149303,"310 Margaret Drive, Singapore 149303",103.8078385,1.2960266
Radin Mas Primary School,School,1,Bukit Purmei Avenue,99840,"1 Bukit Purmei Avenue, Singapore 099840",103.8240239,1.2750442
Raffles Girls' Primary School,School,21,Hillcrest Road,289072,"21 Hillcrest Road, Singapore 289072",175.3153993,-37.7956028
Red Swastika School,School,350,Bedok North Avenue 3,469719,"350 Bedok North Avenue 3, Singapore 469719",103.9346186,1.3336412
Riverside Primary School,School,11,Woodlands Crescent,737803,"110 Woodlands Crescent, Singapore 737803",-1.229646151,50.72730685
River Valley Primary School,School,2,River Valley Green,237993,"2 River Valley Green, Singapore 237993",103.8344417,1.2964914
Rivervale Primary School,School,80,Rivervale Drive,545092,"80 Rivervale Drive, Singapore 545092",103.9046125,1.39365955
Rosyth School,School,21,Serangoon North Ave 4,555855,"21 Serangoon North Ave 4, Singapore 555855",103.8745093,1.3728695
Rulang Primary School,School,6,Jurong West Street 52,649295,"6 Jurong West Street 52, Singapore 649295",103.718737,1.34660905
Sengkang Green Primary School,School,15,Fernvale Road,797636,"15 Fernvale Road, Singapore 797636",103.8748036,1.39288245
Sembawang Primary School,School,10,Sembawang Drive,757715,"10 Sembawang Dr, Singapore 757715",103.8209149,1.44526675
Si Ling Primary School,School,61,Woodlands Avenue 1,739067,"61 Woodlands Avenue 1, Singapore 739067",103.7857661,1.43273955
Seng Kang Primary School,School,21,Compassvale Walk,545166,"21 Compassvale Walk, Singapore 545166",103.8993953,1.38939055
Shuqun Primary School,School,8,Jurong West Street 51,649332,"8 Jurong West St 51, Singapore 649332",103.7215902,1.34712705
Singapore Chinese Girlsâ€™ School (Primary),School,190,Dunearn Road,309437,"190 Dunearn Rd, Singapore 309437",103.8275742,1.32107125
South View Primary School,School,6,Choa Chu Kang Central,689762,"6 Choa Chu Kang Central, Singapore 689762",103.7474821,1.3807757
Springdale Primary School,School,71,Anchorvale Link,544799,"71 Anchorvale Link, Singapore 544799",103.8897759,1.39500145
Stamford Primary Scgool,School,1,Victoria Lane,198423,"1 Victoria Lane, Singapore 198423",-63.7307016,45.7150827
St. Andrew's Junior School,School,2,Francis Thomas Drive,359337,"2 Francis Thomas Drive, Singapore 359337",103.8650956,1.3314877
St. Anthony's Primary School,School,1602,Bedok North Avenue 4,469701,"1602 Bedok North Avenue 4, Singapore 469701",103.9408662,1.3349316
St. Gabriel's Primary School,School,22,Lor Chuan,556742,"220 Lor Chuan, Singapore 556742",103.862049,1.349291
St. Hilda's Primary School,School,2,Tampines Avenue 3,529706,"2 Tampines Avenue 3, Singapore 529706",103.9365936,1.3493751
St. Joseph's Institution Junior,School,3,Essex Road,309331,"No. 3 Essex Road, Singapore 309331",0.81756295,51.63018005
St. Margaret's Primary School,School,2,Mattar Road,387724,"2 Mattar Road, Singapore 387724",103.8815796,1.32474515
St. Stephen's School,School,20,Siglap View,455789,"20 Siglap View, Singapore 455789",103.9182735,1.318257
Tampines North Primary School,School,30,Tampines Avenue 9,529565,"30 Tampines Avenue 9, Singapore 529565",103.9490661,1.3605548
Tampines Primary School,School,250,Tampines Street 12,529426,"250 Tampines Street 12, Singapore 529426",103.9439019,1.3503174
Tanjong Katong Primary School,School,10,Seraya Road,37259,"10 Seraya Road, Singapore 437259.",103.9004409,1.30530945
Tao Nan School,School,49,Marine Crescent,449761,"49 Marine Crescent, Singapore 449761",-2.1598583,52.4733422
Teck Ghee Primary School,School,1,Ang Mo Kio Street 32,569299,"1 Ang Mo Kio Street 32, Singapore 569299",103.8509424,1.36536405
Teck Whye Primary School,School,11,Teck Whye Walk,688261,"11 Teck Whye Walk, Singapore 688261",103.7536444,1.3838682
Telok Kurau Primary School,School,50,Bedok Reservoir Rd,479239,"50 Bedok Reservoir Rd, Singapore 479239",103.9113156,1.3308798
Temasek Primary School,School,501,Bedok South Avenue 3,469300,"501 Bedok South Avenue 3, Singapore 469300",103.9457677,1.31740605
Townsville Primary School,School,3,3 Ang Mo Kio Avenue 10,569730,"No. 3 Ang Mo Kio Avenue 10, Singapore 569730",103.8547193,1.3751539
Unity Primary School,School,21,Choa Chu Kang Cres,688268,"21 Choa Chu Kang Cres, Singapore 688268",103.7467533,1.40273665
Valour Primary School,School,49,Punggol Central,828728,"49 Punggol Central, Singapore 828728",103.8988557,1.4072779
Waterway Primary School,School,70,Punggol Drive,828802,"70 Punggol Drive, Singapore 828802",103.9183743,1.39924075
Wellington Primary School,School,10,Wellington Circle,757702,"10 Wellington Circle,Â Singapore 757702",103.8224126,1.45213625
West Grove Primary School,School,1,Jurong West Street 72,649223,"1 Jurong West Street 72, Singapore 649223",103.6989833,1.34468085
West Spring Primary School,School,60,Bukit Panjang Ring Road,679946,"60 Bukit Panjang Ring Road, Singapore 679946",103.7662653,1.38952295
Westwood Primary School,School,1,Jurong West Street 73,649188,"1 Jurong West Street 73, Singapore 649188",103.700513,1.34744235
West View Primary School,School,31,Senja Road,677742,"31 Senja Road, Singapore 677742",103.7600629,1.3834687
White Sands Primary School,School,2,Pasir Ris Street 11,519075,"2 Pasir Ris Street 11, Singapore 519075",103.9612546,1.36547295
Woodgrove Primary School,School,2,Woodlands Drive 14,738079,"2 Woodlands Drive 14, Singapore 738079",103.7903127,1.4331091
