,Coordinates,FairpricePoints,HosPoints,MallPoints,MRTPoints,ParksPoints,PriSchPoints,SecSchPoints,TertairyPoints,UniPoints,Area,Location_Type,Link,floor_area_sqm,remaining_lease,Sale_Price
12,"1.3146262, 103.8562822",0.010288243031383551,0.22519396040847714,0.009381399359529481,0.014284931612841719,0.0,0.011325275578776647,0.007369852701114741,0.0,0.0,Ang Mo Kio,HDB 4 Room,https://www.99.co/singapore/sale/property/426-ang-mo-kio-avenue-3-hdb-7zbvCnL6rJAAYAAXHwnz5t,54,91,500000
13,"1.31493535, 103.87008954578724",0.008480327880988042,0.08372754560366784,0.0,0.015483598425275198,0.00110556063080161,0.004031703993384555,0.0,0.0,0.0,Mei Link,HDB 3 Room,https://www.99.co/singapore/sale/property/160-mei-ling-street-hdb-c87sWDQgjjgubtNhkhcrwA,46,71,430000
14,"1.3175955, 103.7693303",0.008811465084179827,0.0,0.009192026177900525,0.005593227793044095,0.0,0.02811391180730442,0.016083128372118036,0.0,0.0,Pasir Ris,HDB Executive,https://www.99.co/singapore/sale/property/582-pasir-ris-street-53-hdb-MB7eKXadY3TsqXLwKM8Pc8,71,146,900000
15,"1.31849105, 103.94384629895677",0.002871710031397802,0.08077277400477133,0.0,0.004857916656537254,0.0,0.020695875452066175,0.013666984838014377,0.004056346927026262,0.0,Bishan,HDB 4 Room,https://www.99.co/singapore/sale/property/290-bishan-street-24-hdb-F5AjSggZUDkj4NKSA4uf3p,74,102,730000
16,"1.32034495, 103.90084855164727",0.005971434252406733,0.07779007672718267,0.008881002224596868,0.007846471785739568,0.0,0.014894822514909482,0.004949437605755927,0.0,0.0,Ang Mo Kio,HDB 5 Room,https://www.srx.com.sg/listings/99759021/for-sale-ang-mo-kio-avenue-6-rarely-available-unit-in-the-heart-of-ang-mo-kio,79,111,700000
17,"1.3214131, 103.76595706413028",0.004285873726551678,0.06480462787209762,0.0052101668017625015,0.00415826719342791,0.0,0.020021214350570832,0.005113644093062149,0.0,0.0,Hougang,HDB 4 Room,https://www.99.co/singapore/sale/property/976-hougang-street-91-hdb-mkn3R5w87DFoy38rCm8rnt,75,100,598000
18,"1.32157225, 103.73692739888344",0.003078669403954011,0.034258821238117354,0.0,0.0,0.0,0.0,0.0040054445651381615,0.0,0.0,Serangoon,HDB 3 Bed,https://www.99.co/singapore/sale/property/237-serangoon-avenue-3-hdb-4mRFtWDMjCStHoqXvn5sQ9,61,83,588000
19,"1.3235764, 103.91188732693576",0.01770265038273829,0.0492740057618334,0.0,0.013837092005740303,0.0,0.018893810154611734,0.0,0.0,0.0,Tampines,HDB Executive,https://www.99.co/singapore/sale/property/740-tampines-street-72-hdb-4hD5UCp5Znr4wRePkNgPHq,73,140,840000
20,"1.32373105, 103.92413737041167",0.029205890855099587,0.07351053121794829,0.008641820198723895,0.00443601071789762,0.0,0.01733252147403057,0.01595559454889296,0.0,0.0,Yishun,HDB 4 Room,https://www.srx.com.sg/listings/99314501/for-sale-yishun-street-41-yishun-street-41,89,93,358000
21,"1.3244152, 103.85823245",0.009605174757492193,0.09390144535684956,0.0,0.0,0.0,0.018228738066652313,0.0223779150324596,0.0,0.0,Pasir Ris,HDB Executive,https://www.99.co/singapore/sale/property/220-pasir-ris-street-21-hdb-cQAqfAGiUGcD2A2tfc2FcW,69,147,830000
22,"1.32737635, 103.72313820995441",0.006250116807363973,0.11789870930126566,0.0023979642929712382,0.0,0.0011544718324661008,0.0,0.011793106155473885,0.0,0.0,Woodlands,HDB Executive,https://www.99.co/singapore/sale/property/167-woodlands-street-11-hdb-BuXUFijNpnTbV4bn2yyFnr,70,163,1068000
23,"1.3281545000000001, 103.9388661968753",0.009896425203094677,0.18350258811514103,0.002459857466083621,0.006559476071783667,0.0,0.02796479801245311,0.029399366998454215,0.0,0.0,Yishun,HDB Executive,https://www.99.co/singapore/sale/property/606-yishun-street-61-hdb-BZM94XrBWsnHhK3nDEYN4k,63,141,830000
24,"1.32977185, 103.92899194195202",0.0061361434555702405,0.16572176063569785,0.011395612265859797,0.008301467701461637,0.0013686684304545298,0.02378442881598498,0.01289757187773007,0.0,0.0,Tampines,HDB 4 Room,https://www.99.co/singapore/sale/property/251-tampines-street-21-hdb-5KFEjLFcrikuPfEpUpLLV7,61,101,595000
25,"1.3304833, 103.84502432715232",0.005318764347605982,0.1617331459565783,0.013077209748923426,0.004753926438219166,0.0030150727216415856,0.02252570456981788,0.011652276925533429,0.0,0.0,Queen,HDB 3 Room,https://www.99.co/singapore/sale/property/271-queen-street-hdb-ZCtuQHTmrZ4yrRTU5XB3hk,55,68,630000
26,"1.3309291, 103.94020984896795",0.00899391167981591,0.19653018296774316,0.0,0.007122716175081381,0.0,0.028364844364762238,0.044553634189057376,0.0,0.0,Ang Mo Kio,HDB 3 Room,https://www.srx.com.sg/listings/100606211/for-sale-ang-mo-kio-avenue-5-ang-mo-kio-avenue-5,57,68,599999
27,"1.3310533, 103.92192894307725",0.0025694011911777674,0.11592769455862331,0.0,0.005393781975157139,0.0015808459083835227,0.014667219035933246,0.02354457406439634,0.0,0.0,Hougang,HDB 3 Room,https://www.99.co/singapore/sale/property/123-hougang-avenue-1-hdb-Kreyf4Xy5s6fXmZfKZp6RV,57,66,378000
28,"1.3336044999999999, 103.85520706263839",0.007235151459842,0.13725125702327742,0.002563711222376098,0.008844732467015302,0.0011576495724641448,0.01955860959435678,0.004139356271601572,0.0,0.0,Serangoon,HDB 5 Room,https://www.99.co/singapore/sale/property/310-serangoon-avenue-2-hdb-VjuPHV8fRXFzhG5mRvy6Vm,61,120,800000
29,"1.3342282, 103.93982195090473",0.008999734849663214,0.07054288073368167,0.0,0.004307514766515004,0.0,0.04461537449045542,0.030866470034921732,0.0,0.0,Marsiling Greenview,HDB 3 Room,https://www.srx.com.sg/listings/100631531/for-sale-marsiling-greenview-woodlands-street-13,95,68,460000
30,"1.33453395, 103.86643904692839",0.00881848337303884,0.06504700479467494,0.004958427478584584,0.011204627861915298,0.0,0.010805287369711085,0.01504177483568335,0.010211225292767547,0.0,Ang Mo Kio,HDB 3 Room,https://www.99.co/singapore/sale/property/182-ang-mo-kio-avenue-5-hdb-ac5VsmN97gF9YyqQ2BP7Wc,57,68,390000
31,"1.33471975, 103.85230273263656",0.008423943476078454,0.2540756711158201,0.003698067139602249,0.011956672067324925,0.0015275271849606448,0.020601568962433682,0.005091404445197836,0.0,0.0,Anchorvale,HDB 5 Room,https://www.srx.com.sg/listings/100619821/for-sale-anchorvale-drive-anchorvale-drive,78,110,400000
32,"1.3349051, 103.87943952124174",0.00573208577805617,0.05272721644040567,0.0,0.009460733628005194,0.0,0.009242661779749719,0.01745667143384868,0.0,0.0,Anchorvale Crescent,HDB 4 Room,https://www.99.co/singapore/sale/property/338b-anchorvale-crescent-hdb-CQt3nnNqaGT9USqrfUkpH7,94,92,600000
33,"1.3363019, 103.85148137626547",0.00693010958838796,0.22614372764474516,0.0032944418412196082,0.012709363457844673,0.0013636309686882863,0.02303711716639372,0.010720651391559389,0.0,0.0,Senja,HDB 5 Room,https://www.99.co/singapore/sale/property/655-senja-road-hdb-WcLvNKgbwMSj27PiLRXsK7,77,109,535000
34,"1.3364868, 103.8588206072868",0.006787227120142444,0.07244832459572667,0.0,0.003236898635835577,0.0,0.02313007267553391,0.004271766581446397,0.0,0.0,Bedok South,HDB 5 Room,https://www.99.co/singapore/sale/property/66-bedok-south-avenue-3-hdb-GxH9sAiy2yDHrSUq6uzeHe,53,123,740000
35,"1.3370704, 103.85147710032723",0.006488233825868781,0.2114177501159248,0.0029436724407001526,0.014128269769706533,0.0012392279939055554,0.027877366308677987,0.012162842783702128,0.0,0.0,Simei,HDB Executive,https://www.srx.com.sg/listings/100549161/for-sale-simei-street-1-simei-street-1,63,146,1020000
36,"1.3380570999999999, 103.69657434885107",0.0020448812716436773,0.11862462809192124,0.006922395144952158,0.022563038511974297,0.0,0.03349068878748568,0.01572491088960353,0.0,0.0,Toa Payoh North,HDB 3 Bed,https://www.99.co/singapore/sale/property/202-toa-payoh-north-hdb-N9MwuJ39bgTP6gm7xJHpf2,49,86,460000
37,"1.3382418, 103.84855917460685",0.004736726700280438,0.28008220859627997,0.0027795317547090483,0.012363839502796991,0.0011891871785738807,0.040783726607373914,0.022083543035073337,0.0,0.0,Choa Chu Kang,HDB Executive,https://www.srx.com.sg/listings/100164911/for-sale-choa-chu-kang-avenue-4-choa-chu-kang-avenue-4,73,143,618000
38,"1.3387726500000001, 103.73564735233461",0.004939202138918929,0.10735580327077714,0.004634650057414813,0.008655772247300665,0.0019009487931605576,0.02018363150944993,0.004113187303634384,0.0,0.0,Clementi,HDB 3 Room,https://www.99.co/singapore/sale/property/345-clementi-avenue-5-hdb-AryVKTtLEn2WRAz4tNGFWU,55,81,490000
39,"1.3407551, 103.73803364790064",0.0069593601458885004,0.08396902389838667,0.004526388047960893,0.007717110439879146,0.001581353562172615,0.017832707654594757,0.010790459043239792,0.0,0.0,Lorong 4 Toa Payoh,HDB 5 Room,https://www.99.co/singapore/sale/property/62-lorong-4-toa-payoh-hdb-Va8rJVHYi4dojBbcMbzg42,75,120,1015000
40,"1.34150025, 103.8495686451834",0.004689042921839007,0.20434054970590274,0.0,0.011668147341557196,0.0,0.026065660644863518,0.03481592922753398,0.0,0.0,Bukit Batok East,HDB 3 Room,https://www.99.co/singapore/sale/property/237-bukit-batok-east-avenue-5-hdb-DugAVJJVjFzpKijSMvTmbN,61,72,388000
41,"1.3444394499999999, 103.95120185444759",0.010158910992417197,0.12558108812240992,0.007481546147822202,0.008717573047021707,0.0,0.02698068881708804,0.0124526745767981,0.0,0.0,Lorong 4 Toa Payoh,HDB 3 Room,https://www.srx.com.sg/listings/98233311/for-sale-lorong-4-toa-payoh-lorong-4-toa-payoh,45,62,478000
42,"1.34469065, 103.70211148298677",0.002962933252480911,0.09998335816049844,0.009072001943729265,0.007043852969332513,0.0,0.04209173136569161,0.02715595896491916,0.0,0.0,Bedok South,HDB Executive,https://www.srx.com.sg/listings/100559941/for-sale-bedok-south-avenue-2-bedok-south-avenue-2,69,13,505000
43,"1.3447125999999998, 103.95822587882556",0.009307255173218482,0.11053509038207265,0.003218594627695154,0.012002089731990007,0.0,0.013338122406047394,0.005345232377788797,0.0,0.005243173048035715,Whampoa,HDB 4 Room,https://www.srx.com.sg/listings/99773371/for-sale-whampoa-drive-whampoa-drive,50,89,530000
44,"1.34517205, 103.71070161287156",0.01102563712736505,0.10392504345790606,0.002286608067164768,0.0030704614690380307,0.001140376543444479,0.020858410063202854,0.015718713127036592,0.0,0.0,Punggol Walk,HDB 4 Room,https://www.99.co/singapore/sale/property/271c-punggol-walk-hdb-7LH5yxyD2CkxDyurMtYtoE,90,92,680000
45,"1.34555415, 103.94944249989042",0.008412865516994016,0.09641471306077665,0.00819482127299466,0.005211665172967241,0.0,0.03277169670015858,0.011270829794345587,0.0,0.0,Buangkok Link,HDB 1 Bed,https://www.99.co/singapore/sale/property/992a-buangkok-link-hdb-6XTu7kevxtgmE6Dd6r87wd,95,37,348888
46,"1.3462442000000001, 103.7494054077894",0.011402390502171908,0.1110942830952621,0.0046898456035833124,0.00957035282102679,0.0,0.017801279782608283,0.02631505769877588,0.0,0.0,Parkland Residences,HDB 4 Room,https://www.srx.com.sg/listings/99725401/for-sale-parkland-residences-upper-serangoon-crescent,90,92,799000
47,"1.3471761, 103.74126185888107",0.013516639932053633,0.137907140279546,0.0021154243467665945,0.0031605862742613393,0.0,0.028833293006584926,0.036316459944772596,0.009297840677066084,0.0,Pasir Ris,HDB Executive,https://www.srx.com.sg/listings/99380051/for-sale-pasir-ris-street-21-pasir-ris-street-21,69,148,560000
48,"1.3473242, 103.75292058070869",0.00913485771623592,0.10304247086863393,0.003925664897871336,0.007188588798366598,0.0010632308359144504,0.03520132243829676,0.030402276847387864,0.0,0.0,Hougang,HDB 4 Room,https://www.srx.com.sg/listings/100652991/for-sale-hougang-avenue-5-c-h-e-a-p-c-h-e-a-p-c-h-e-a-p-f-u-l-l-y-r-e-n,59,93,638000
49,"1.3473462, 103.74688720406533",0.010062614677759828,0.14072356747590453,0.004976025391072481,0.008434507617515179,0.0,0.01585518170297135,0.023072914183167037,0.00527772222800205,0.0,Jurong East,HDB 5 Room,https://www.99.co/singapore/sale/property/111-jurong-east-street-13-hdb-EvrsHpMAmdRUTv3yaWELu8,57,119,628000
50,"1.347467, 103.75360430077282",0.009386136082828553,0.08195093559084564,0.003547853063471977,0.0062507825174556286,0.0010903642172832347,0.03620353248445488,0.02646922256207459,0.0,0.0,Choa Chu Kang,HDB 4 Bed,https://www.99.co/singapore/sale/property/453-choa-chu-kang-avenue-4-hdb-6QLPcipyuDHC8uPQLWm96r,76,141,739888
51,"1.3475255499999998, 103.85662062676296",0.0025369264793827315,0.09465455845639224,0.0021288714539669626,0.00325423460390928,0.0,0.03159398188575891,0.019374923328558898,0.0,0.0,Yishun,HDB 4 Room,https://www.99.co/singapore/sale/property/506c-yishun-avenue-4-hdb-ayptqxCfhEQfJFQVkEpV6s,94,92,625000
52,"1.34753865, 103.8495469088343",0.014275533067331465,5091.544201359687,0.005702183258787682,0.011063995888500358,0.0,0.030696550974275618,0.039528227270013365,0.0,0.0,Toh Yi,HDB 4 Room,https://www.99.co/singapore/sale/property/1-toh-yi-drive-hdb-YXh6uMhivm87RoVftV2mKT,64,103,950000
53,"1.3476173999999999, 103.73435991274481",0.0068391141382645034,0.03388373255051521,0.0,0.004874371596203017,0.0016248214833531423,0.03073016960058292,0.020096415448209327,0.004725465032564101,0.0,Commonwealth Crescent,HDB 3 Room,https://www.srx.com.sg/listings/100452811/for-sale-commonwealth-crescent-commonwealth-crescent,45,60,418000
54,"1.3479955000000001, 103.94717757200927",0.005799309512057454,0.12697390039466086,0.01184363221968623,0.007439037446245301,0.0,0.04153434810256796,0.015837430691703257,0.0,0.0,Strathmore,HDB 3 Room,https://www.99.co/singapore/sale/property/53-strathmore-avenue-hdb-REDaMm87GYyW9F4Aw278oM,82,61,780000
55,"1.3492268, 103.75426734099452",0.0096674403264997,0.0774126729009111,0.0035400062288676436,0.005766706242577606,0.0013888361532406876,0.02585403007123582,0.021229934902206097,0.0,0.0,Ang Mo Kio,HDB 5 Room,https://www.srx.com.sg/listings/100367171/for-sale-ang-mo-kio-avenue-6-ang-mo-kio-avenue-6,79,110,998000
56,"1.3494693, 103.7553714386543",0.010852037610963735,0.06756386152152698,0.0029278491736225193,0.004656552861257496,0.002427086177881156,0.024882192395558687,0.01955431041649344,0.0,0.0,Sumang Lane,HDB 3 Bed,https://www.99.co/singapore/sale/property/231a-sumang-lane-hdb-42iiccAW4QDpeJkv9ZnXTJ,94,92,618888
57,"1.3495664500000002, 103.83918743465611",0.0020020694004705283,0.0292916464748912,0.0,0.031139277840757505,0.0,0.004582790393337799,0.020659924911806692,0.0,0.0,Woodlands,HDB Executive,https://www.99.co/singapore/sale/property/359-woodlands-avenue-5-hdb-5DF5ErcpER2uDJTobvuPKk,72,150,888888
58,"1.35033715, 103.83828700695312",0.002029525661080278,0.027818954835292807,0.0020007956901995213,0.01754630889889268,0.0,0.00445029645728666,0.01898083007332773,0.0,0.0,Tiong Bahru View,HDB 5 Room,https://www.srx.com.sg/listings/91618701/for-sale-tiong-bahru-view-boon-tiong-road,92,112,500000
59,"1.3510113, 103.7120806",0.0037853702231420076,0.06098332649394461,0.0,0.0,0.0,0.01708141582217415,0.00442924185889652,0.0,0.0,Yishun,HDB 4 Room,https://www.99.co/singapore/sale/property/468a-yishun-street-43-hdb-cW2P3RfwmLyaerKe5pRaF5,94,92,600000
60,"1.35142445, 103.94585007073019",0.013648618175485405,0.16370234921842114,0.02813358021626791,0.010048509259314073,0.0011706289602201058,0.050614637361888384,0.026142526771430634,0.0,0.0,Jurong West,HDB 4 Room,https://www.srx.com.sg/listings/100649071/for-sale-jurong-west-street-42-jurong-west-street-42,60,108,390000
61,"1.3519689499999998, 103.93443682797769",0.012590684082652116,0.11932741121945334,0.0030785758909074134,0.0036402669522287738,0.0,0.027054177166136555,0.04270060280722507,0.00507994675399505,0.0,Hougang,HDB 4 Room,https://www.99.co/singapore/sale/property/927-hougang-street-91-hdb-kvBqJTaRN4yCQaVCMtvdHd,74,100,590000
62,"1.3523307500000001, 103.74440368917297",0.006266557943676438,0.2230906476565706,0.0033621384002447165,0.004399589812958624,0.0,0.012586306679097612,0.014987481916367005,0.01030994739782025,0.0,Woodlands,HDB 3 Room,https://www.99.co/singapore/sale/property/687a-woodlands-drive-75-hdb-6eboNheoYNy5chuLGzrk7r,79,113,568000
63,"1.3526771499999999, 103.74255019782768",0.005532226529083204,0.19242990464625342,0.002501152301909331,0.0034087676502745625,0.0,0.01407573370761838,0.011794614247602909,0.01677140093301086,0.0,Hougang,HDB 4 Room,https://www.99.co/singapore/sale/property/965-hougang-avenue-9-hdb-EnJK5WBPbbM2if5GY3zwtr,75,100,513000
64,"1.3527596499999999, 103.96027230046545",0.0029434231550507636,0.060146471697273954,0.0,0.0046456500042717334,0.0,0.02181430890425921,0.017524194262049285,0.0,0.0,Ang Mo Kio,HDB 5 Room,https://www.99.co/singapore/sale/property/552-ang-mo-kio-avenue-10-hdb-NX5GtYqFKppiEfWKc7SAJN,56,118,758000
65,"1.352862, 103.9485369",0.0067535013683761675,0.12333660070178981,0.013336855868440217,0.010495637196894836,0.0011743819158906137,0.04993386836275415,0.030301911948100606,0.0,0.0,Yishun,HDB 3 Bed,https://www.99.co/singapore/sale/property/676c-yishun-ring-road-hdb-5Dd7fYj3bEpSiZuvDDGEUA,94,92,565000
66,"1.35409055, 103.71726395084579",0.002063637262285972,0.06795611524481351,0.0,0.0,0.0,0.00910607550710485,0.007497912252638588,0.0,0.0,Ang Mo Kio,HDB 3 Room,https://www.99.co/singapore/sale/property/537-ang-mo-kio-avenue-5-hdb-Sd3tBfp3UYMyUwQDknjBN6,56,91,518000
67,"1.3541311999999999, 103.87025658648464",0.032501649799790436,0.18469779175373713,0.004347168853844795,0.00915132615159948,0.0,0.017515250572017946,0.01748334240848896,0.007472426860089853,0.0,Sumang Link,HDB 5 Room,https://www.99.co/singapore/sale/property/312b-sumang-link-hdb-Dz9Xbzpx2nAs6Q84Rtjpor,91,112,740000
68,"1.35445145, 103.75248998855022",0.005181119868417065,0.05928432014074382,0.003306577128300635,0.010324235571411725,0.004414827876675144,0.030806628696603222,0.034239050734166346,0.0,0.0,MARSILING LANE,HDB 3 Room,https://www.srx.com.sg/listings/100019081/for-sale-marsiling-lane-marsiling-lane,60,65,1399999
69,"1.3546399500000001, 103.72305645946975",0.0029744749499692096,0.06018382237724912,0.0,0.0,0.0,0.004699529911411358,0.02841480805905566,0.0,0.0,Compassvale,HDB 5 Room,https://www.srx.com.sg/listings/100294131/for-sale-compassvale-road-compassvale-road,77,110,390000
70,"1.3549035, 103.74003732983272",0.0021860302530937546,0.23505539479009036,0.0,0.0,0.0,0.006427319943139725,0.005510639958510519,0.008949396198735957,0.0,Sa,HDB 3 Bed,https://www.99.co/singapore/sale/property/4b-saint-georges-lane-hdb-XUBrzMk3drnqEmFUyigzw4,72,104,710000
71,"1.3551991, 103.8677965",0.005599009421391815,0.10040115173296432,0.0027412235164297736,0.00857969227539902,0.0,0.024837393507791242,0.01235207845222756,0.008196399505647713,0.0,Bukit Batok West,HDB 4 Room,https://www.99.co/singapore/sale/property/108-bukit-batok-west-avenue-6-hdb-78SWWeuTvJHazJmDScFSj4,61,103,545000
72,"1.35644755, 103.84281325907892",0.013944055674619064,0.03435352421260744,0.0021577969402119643,0.013871504019467785,0.002599989087713867,0.013284310624980422,0.057722267546903135,0.0,0.0,Hougang,HDB 4 Room,https://www.99.co/singapore/sale/property/467-hougang-avenue-8-hdb-4Z2bJdyx24656eNfb7T7Fh,68,107,599000
73,"1.3575382, 103.8714588",0.005107293771851365,0.11435954785579538,0.0025986785107510175,0.003493691791473758,0.0,0.017020383891589098,0.017861805133001497,0.004411313970978132,0.0,Shunfu Gardens,HDB 5 Room,https://www.srx.com.sg/listings/100340061/for-sale-shunfu-gardens-shunfu-road,60,121,500000
74,"1.3588163, 103.94524793057613",0.007581954077531738,0.13652354625983473,0.011940184361881505,0.005375434429865225,0.007279141736527705,0.02108853283681225,0.006841943130933226,0.0,0.0,Jurong West,HDB 5 Room,https://www.srx.com.sg/listings/100570251/for-sale-jurong-west-street-91-jurong-west-street-91,65,122,1068000
75,"1.3588399, 103.9543513",0.011023029648430788,0.10008512973380405,0.0,0.008059941811183004,0.0011160642637783953,0.02163320674020562,0.03420644185933314,0.0,0.0,Woodlands,HDB Executive,https://www.srx.com.sg/listings/99511321/for-sale-woodlands-street-32-woodlands-street-32,71,163,380000
76,"1.3593575, 103.93280765177364",0.011016025640736709,0.06106828347987498,0.0024812847224437128,0.0,0.0,0.011513043760641656,0.005777839627867364,0.0,0.0,Woodlands,HDB 3 Bed,https://www.99.co/singapore/sale/property/693b-woodlands-avenue-6-hdb-YtRc9d8YZ5fkngLfGKEcfw,94,91,610000
77,"1.3649558499999999, 103.8438180100004",0.011551059625251933,0.11376489447759465,0.009624794753751758,0.011619197789871404,0.008422126160518139,0.010953410127063605,0.0444644544351773,0.0,0.0,Jurong West,HDB Executive,https://www.99.co/singapore/sale/property/558-jurong-west-street-42-hdb-8sG9hNSAETEijno5AmyLLc,61,150,777000
78,"1.3683445, 103.84774419843228",0.008838814375849192,0.18756995118388142,0.028239385861633708,0.01600619846346832,0.005250634581699388,0.01904367278920035,0.04237430014400051,0.0,0.0,Upper Boon Keng,HDB 5 Room,https://www.99.co/singapore/sale/property/14-upper-boon-keng-road-hdb-SQdNwTp6tu7FXpFNwXDEeB,75,120,938000
79,"1.3692515, 103.8798375",0.004936642830306195,0.0,0.0028432159334932055,0.0,0.0018045899166771132,0.014642000564526157,0.024985641696175107,0.0,0.0,Ang Mo Kio,HDB Executive,https://www.99.co/singapore/sale/property/578-ang-mo-kio-avenue-10-hdb-Ytid5Gj7sy3sUf5sMEGbfp,56,148,1150000
80,"1.36948655, 103.8532999",0.002753566478721479,0.19158867443124097,0.011697783902823009,0.01310669162305406,0.002728815602594583,0.032202505720506695,0.026133643960772557,0.0,0.0,Sembawang Close,HDB 4 Room,https://www.99.co/singapore/sale/property/330-sembawang-close-hdb-5nfTtbEo5qj3Kth5SXfo6M,75,119,650000
81,"1.3695505, 103.8465557939056",0.013378655855340978,0.19608521670475573,0.029686235441481378,0.012854416489198793,0.004703699766965259,0.01705709854744855,0.04833880413785755,0.0,0.0,Jurong West,HDB 5 Room,https://www.srx.com.sg/listings/100549491/for-sale-jurong-west-street-24-5rm-premium-apartment-design-and-build,79,113,700000
82,"1.3699001499999999, 103.84620757209012",0.014669347531673331,0.21691476892009476,0.02988472950391081,0.011770502007244148,0.00448208903638222,0.01664277262225687,0.047504005703402144,0.0,0.0,Eunos Crescent,HDB 3 Room,https://www.srx.com.sg/listings/100581241/for-sale-eunos-crescent-eunos-crescent,83,60,998000
83,"1.3702811000000001, 103.89015150181818",0.011405220428864207,0.07997456531592143,0.004185051623260193,0.012536813096338922,0.0,0.024586023004528404,0.01421214655004572,0.0,0.0,Bukit Batok West,HDB 5 Room,https://www.srx.com.sg/listings/100301971/for-sale-bukit-batok-west-avenue-8-bukit-batok-west-avenue-8,95,112,528000
84,"1.37057235, 103.95811075",0.004234852794857519,0.11993662534716672,0.006630479525934638,0.0,0.001554846654692716,0.03279241004128741,0.02918179450126824,0.0,0.0,Jurong West,HDB 5 Room,https://www.99.co/singapore/sale/property/650a-jurong-west-street-61-hdb-UyFJzxGhGLBPs8y6RScb3Y,76,109,620000
85,"1.3715094, 103.8948586",0.02208054908885873,0.0,0.011916902712101773,0.009889311616064498,0.0013203571994633233,0.019197393623855988,0.01005055621277054,0.0,0.0,Corporation,HDB 4 Room,https://www.99.co/singapore/sale/property/140a-corporation-drive-hdb-NHstfNf4rYa4ncbE3jZ97y,95,92,598000
86,"1.37179045, 103.85496525927232",0.0022556118683124088,0.21671492048004193,0.007496194602908443,0.008470443761616039,0.0018613337232004945,0.03600080692449928,0.013599661948767494,0.0,0.0,Bishan,HDB 4 Room,https://www.99.co/singapore/sale/property/161-bishan-street-13-hdb-BPnGW8ioRZV5QTjRWTUQLT,64,103,690000
87,"1.3727738, 103.74597206306956",0.0022753824477756254,0.05996856997812716,0.0020294205712502855,0.0,0.0,0.00993163981086441,0.0,0.0,0.0,Choa Chu Kang,HDB Executive,https://www.99.co/singapore/sale/property/448-choa-chu-kang-avenue-4-hdb-VHJ2pbsr4svmQkbJHd5r4K,73,138,920000
88,"1.3732074, 103.8851536",0.01771982022309917,0.171048536267294,0.007670846970458356,0.0035625333840906236,0.0,0.03434174987943843,0.03661173082756482,0.0,0.0,Pasir Ris,HDB Executive,https://www.99.co/singapore/sale/property/269-pasir-ris-street-21-hdb-b5bZJBrL6paomFZhnURQi8,70,146,900000
89,"1.3733647, 103.88821347490706",0.013000272766927234,0.13105530899128426,0.008168148102092106,0.005509014140483121,0.0,0.04573738904505383,0.059865628983914,0.0,0.0,Bedok Reservoir,HDB Executive,https://www.99.co/singapore/sale/property/636-bedok-reservoir-road-hdb-EQy6RRpY4UeDkidRfFHguK,69,145,1199988
90,"1.3741543, 103.85380151282592",0.002434386207030499,0.21376604893278864,0.010338900133827626,0.004567290657377468,0.001824188512717239,0.04533645457240887,0.019525021129416852,0.004746776850504517,0.0,Jalan Batu,HDB 2 Room,https://www.srx.com.sg/listings/100482431/for-sale-jalan-batu-jalan-batu,46,48,418000
91,"1.3742817, 103.9013717",0.009404451058210741,0.0,0.002314357291092665,0.0,0.001792972689739651,0.004700013014027265,0.042297692442893914,0.0,0.0,Tampines,HDB 4 Room,https://www.srx.com.sg/listings/100413291/for-sale-tampines-street-12-tampines-street-12,60,92,500000
92,"1.3749575, 103.8777803",0.004849855467817956,0.09409327837885036,0.009611169363518078,0.0,0.0,0.026811495128025498,0.02175319914499621,0.0,0.0,Sumang Lane,HDB 5 Room,https://www.99.co/singapore/sale/property/234b-sumang-lane-hdb-UAR4aE97y8qnHNBs9F35hJ,94,112,699999
93,"1.3752136, 103.85305915791608",0.0024860933580408565,0.13360527820456483,0.01061338991269654,0.004328565693263895,0.0017010680964884596,0.0374176327565556,0.03496387918522934,0.010076883274560288,0.0,Bukit Batok West,HDB 5 Room,https://www.99.co/singapore/sale/property/452a-bukit-batok-west-avenue-6-hdb-Gfae4rMoKRhFhXevYpn6c8,95,114,810000
94,"1.375216, 103.94678994008518",0.006738985016771596,0.06995258531500367,0.006650105967666669,0.00819125024140776,0.0013367238109364206,0.03136136830079801,0.004287488387883196,0.004024281308759886,0.0,Upper Serangoon Crescent,HDB 5 Room,https://www.99.co/singapore/sale/property/475c-upper-serangoon-crescent-hdb-RQbLT2eyKc7KSPb3w4kakF,90,111,1000000
95,"1.3753185499999998, 103.89999311467625",0.009667971584881085,0.07820395851646961,0.002651440308757809,0.0,0.002720643385270173,0.010246807315589832,0.022666292470597448,0.0,0.0,Tampines,HDB 4 Room,https://www.99.co/singapore/sale/property/105-tampines-street-11-hdb-AdBqJjAdpo8J6XbwicJFm5,58,104,599000
96,"1.37545765, 103.84888911809797",0.0038994562329890945,0.11379106107909015,0.017787019989920307,0.004982816842978748,0.0018299604965907336,0.0138953419469397,0.0203669675174696,0.0152120711288555,0.0,Bukit Batok,HDB 4 Room,https://www.srx.com.sg/listings/100653341/for-sale-bukit-batok-street-21-6-mins-walk-to-mrt-and-mall-corner-4-room-for-sal,59,104,799000
