,Coordinates,FairpricePoints,HosPoints,MallPoints,MRTPoints,ParksPoints,PriSchPoints,SecSchPoints,TertairyPoints,UniPoints,Area,Location_Type,Link,floor_area_sqm,remaining_lease,Sale_Price
147,"1.4466914, 103.8180590179067",0.008609912329920345,0.08461901005124511,0.01051758714011699,0.008640350292390301,0.0,0.02848932380324333,0.025157840744529356,0.0,0.0,Punggol Walk,HDB 4 Room,https://www.99.co/singapore/sale/property/310b-punggol-walk-hdb-bPP8Be7g8bfPeSUWcfPnyW,92,91,678888
148,"1.4474597, 103.80404730873177",0.002159450026077757,0.06858065374617432,0.005075378233239858,0.003602703871240975,0.0,0.010937619391209347,0.01871960149412098,0.0,0.0,Bishan,HDB 3 Room,https://www.99.co/singapore/sale/property/116-bishan-street-12-hdb-Lmte5dDvCXbbb25NydR6Jn,61,63,490000
149,"1.45160665, 103.82794681536046",0.0020608665026819895,0.0608233357364944,0.0020296701024064756,0.00640618176982539,0.0,0.006472583142332606,0.0,0.0,0.0,Petir,HDB 3 Room,https://www.srx.com.sg/listings/100598141/for-sale-petir-road-petir-road,64,73,649999
150,"1.4521353000000001, 103.81443637682855",0.006962659697874005,0.06489045145429453,0.0028486013875709836,0.0042232524632745206,0.0,0.04212451224832237,0.027648277475553186,0.0,0.0,Bishan,HDB 4 Room,https://www.99.co/singapore/sale/property/272-bishan-street-24-hdb-gYBDx99tP4KVgXPVcLowJp,68,108,780000
151,"1.3031931, 103.91251466408788",0.0,0.06972815499785644,0.006756894841652391,0.0,0.003725923106925183,0.015915032346944098,0.010974172341518849,0.004543477979310354,0.0,Montreal Ville,HDB 4 Room,https://www.srx.com.sg/listings/100268361/for-sale-montreal-ville-montreal-link,91,93,738000
152,"1.33104865, 103.90437258648484",0.0,0.04518989420431247,0.0,0.004527135587344228,0.0,0.02034867552766944,0.008204077389798075,0.0,0.0,Compassvale Link,HDB 4 Room,https://www.99.co/singapore/sale/property/275c-compassvale-link-hdb-6JFsEeXkwwC3KkmKVjx8DX,85,90,670000
153,"1.3351798000000001, 103.77093141504011",0.0,0.024385814665970323,0.004163426862897213,0.003506194512230448,0.0,0.015449820316617822,0.0,0.008597331493499666,0.0,Yishun,HDB Executive,https://www.99.co/singapore/sale/property/326-yishun-ring-road-hdb-Q4GfhS7hHzgPwgobcMGSxT,64,145,928000
154,"1.3354601000000001, 103.77098870993761",0.0,0.025270421756623085,0.004290905315037509,0.003625325936760417,0.0,0.016392235219939554,0.0,0.00841274707404232,0.0,Senja,HDB 3 Bed,https://www.99.co/singapore/sale/property/635b-senja-road-hdb-is4PXCogoS4PtTRCEJJYWm,91,92,648000
155,"1.336865, 103.92931427809168",0.0,0.052797192988495355,0.0,0.005848329224075994,0.00362702419006841,0.023382322795818145,0.005053915175075224,0.004007407727668762,0.0,Choa Chu Kang Central,HDB 5 Room,https://www.99.co/singapore/sale/property/212-choa-chu-kang-central-hdb-LW52Tk6JLoThVpvwku6A55,65,121,650000
156,"1.3368778, 103.69660159483345",0.0,0.08395971439025865,0.0037067547169097447,0.021595160385940428,0.0,0.03092973355801004,0.015140882118582246,0.0,0.0,Lorong 3 Toa Payoh,HDB 3 Room,https://www.srx.com.sg/listings/100334301/for-sale-lorong-3-toa-payoh-lorong-3-toa-payoh,46,78,618000
157,"1.3398189, 103.84636184611658",0.0,0.2655225096286771,0.0021646854545623287,0.009416596312707519,0.0,0.027516480799932547,0.029312520193079405,0.0,0.0,Pasir Ris,HDB Executive,https://www.99.co/singapore/sale/property/448-pasir-ris-drive-6-hdb-hUZvRU4RLnBsg357ciUykh,65,145,950000
158,"1.34016475, 103.68917087346051",0.0,0.0777510539773722,0.0022114456324098327,0.0,0.0,0.03210559956307797,0.018798927703485475,0.0,0.0,Woodlands,HDB 2 Room,https://www.srx.com.sg/listings/100590251/for-sale-woodlands-drive-16-woodlands-drive-16,94,47,830000
159,"1.34062665, 103.844298306073",0.0,0.198329940608251,0.0,0.008883777509266808,0.0,0.025095625164775433,0.033999499775751285,0.0,0.0,Chai Chee,HDB 4 Room,https://www.srx.com.sg/listings/100518801/for-sale-chai-chee-road-chai-chee-road,69,104,358000
160,"1.3417329, 103.68684009337275",0.0,0.04402954887180224,0.0,0.0,0.0,0.031820256262290014,0.01061591800134982,0.0,0.004650109917130346,Jurong West,HDB 4 Room,https://www.srx.com.sg/listings/100579581/for-sale-jurong-west-street-91-jurong-west-street-91,65,105,1068000
161,"1.34439735, 103.69100848058531",0.0,0.10067393708014498,0.004953119618172611,0.0,0.0,0.026647647298642718,0.013076833335223905,0.0,0.0,Segar,HDB 3 Room,https://www.srx.com.sg/listings/100520251/for-sale-segar-road-segar-road,91,68,1068000
162,"1.3470632, 103.699834",0.0,0.09686627736050346,0.009592066814534807,0.0,0.0,0.07752289735432535,0.012973690990458015,0.0,0.0,Woodlands,HDB 4 Room,https://www.99.co/singapore/sale/property/853-woodlands-street-83-hdb-fpyf9Z2mCamNWiwDu7tFfW,69,103,520000
163,"1.3501474, 103.7043201646382",0.0,0.03713800807254368,0.002633821954495654,0.0,0.0,0.026428384131960758,0.017346787821844144,0.0,0.0,Jalan Membina,HDB 5 Room,https://www.srx.com.sg/listings/99406111/for-sale-jalan-membina-jalan-membina,85,110,700000
164,"1.35340035, 103.88627080646336",0.0,0.0698162037622315,0.002909666166235092,0.0040191417319969626,0.0,0.015415050293829299,0.017210985118493137,0.0,0.0,Simei,HDB Executive,https://www.99.co/singapore/sale/property/111-simei-street-1-hdb-ePow4oEhqUZmzR6LzpMEuW,63,145,950000
165,"1.355623, 103.73774618189812",0.0,0.1261024817349578,0.0,0.0,0.0,0.009439544643469869,0.0046124464627321626,0.006298865977218541,0.0,Simei,HDB 5 Room,https://www.srx.com.sg/listings/100653911/for-sale-simei-road-indulge-in-a-condo-style-living-with-industrial-ch,65,122,530000
