School_Name,Location_Type,Blk_No,Address,Postal_Code,Full_Address,Long,Lat
Woodgrove Primary School,Primary School,2,Woodlands Drive 14,738079,"2 Woodlands Drive 14, Singapore 738079",,
Woodlands Primary School,Primary School,10,Woodlands Drive 50,738853,"10 Woodlands Drive 50, Singapore 738853",,
Woodlands Ring Primary School,Primary School,11,Woodlands Ring Road,738240,"11 Woodlands Ring Road, Singapore 738240",,
Xinghua Primary School,Primary School,45,Hougang Avenue 1,538882,"45 Hougang Avenue 1, Singapore 538882",,
Xingnan Primary School,Primary School,5,Jurong West Street 91,649036,"5 Jurong West Street 91, Singapore 649036",,
Xinmin Primary School,Primary School,9,Hougang Avenue 8,538784,"9 Hougang Avenue 8, Singapore 538784",,
Xishan Primary School,Primary School,8,Yishun Street 21,768611,"8 Yishun Street 21, Singapore 768611",,
Yangzheng Primary School,Primary School,15,Serangoon Avenue 3,556108,"15 Serangoon Avenue 3, Singapore 556108",,
Yew Tee Primary School,Primary School,10,Choa Chu Kang Street 64,689100,"10 Choa Chu Kang Street 64, Singapore 689100",,
Yio Chu Kang Primary School,Primary School,1,Hougang Street 51,538720,"1 Hougang Street 51, Singapore 538720",,
Yishun Primary School,Primary School,500,Yishun Ring Road,768679,"500 Yishun Ring Road, Singapore 768679",,
Yu Neng Primary School,Primary School,56,Bedok North Street 3,469623,"56 Bedok North Street 3, Singapore 469623",,
Yuhua Primary School,Primary School,158,Jurong East Street 24,609558,"158 Jurong East Street 24, Singapore 609558",,
Yumin Primary School,Primary School,3,Tampines Street 21,529393,"3 Tampines Street 21, Singapore 529393",,
Zhangde Primary School,Primary School,51,Jalan Membina,169485,"51 Jalan Membina, Singapore 169485",,
Zhenghua Primary School,Primary School,9,Fajar Road,679002,"9 Fajar Road, Singapore 679002",,
Zhonghua Primary School,Primary School,12,Serangoon Ave 4,556095,"12 Serangoon Ave 4, Singapore 556095",,
