Location_Name,Location_Type,Blk_No,Address,Postal_Code,Full Address,Long,Lat,floor_area_sqm,remaining_lease,Price,Link,Lease_Used,Num_Bed,Num_Toilet
Jurong West,HDB 4 Room,276A,Jurong West Street 25,,Blk 276A Jurong West Street 25,,,88,78,468000,https://www.srx.com.sg/listings/100645171/for-sale-jurong-west-street-25-jurong-west-street-25,21.0,3,2.0
MARSILING LANE,HDB 4 Room,12B,MARSILING LANE,,Blk 12B MARSILING LANE,,,93,89,468000,https://www.srx.com.sg/listings/100645161/for-sale-marsiling-lane-marsiling-lane,10.0,3,2.0
Bukit Batok West,HDB 5 Room,115,Bukit Batok West Avenue 6,,Blk 115 Bukit Batok West Avenue 6,,,132,61,468000,https://www.srx.com.sg/listings/100645151/for-sale-bukit-batok-west-avenue-6-bukit-batok-west-avenue-6,38.0,4,2.0
Toh Yi,HDB Executive,7,Toh Yi Drive,,Blk 7 Toh Yi Drive,,,142,65,600000,https://www.srx.com.sg/listings/100645121/for-sale-toh-yi-drive-toh-yi-drive,34.0,4,2.0
Jurong East,HDB 4 Room,316,Jurong East Street 32,,Blk 316 Jurong East Street 32,,,105,60,600000,https://www.srx.com.sg/listings/100645111/for-sale-jurong-east-street-32-jurong-east-street-32,39.0,3,2.0
Buangkok Tropica,HDB 4 Room,996C,Buangkok Tropica,,Blk 996C Buangkok Tropica,,,93,94,600000,https://www.srx.com.sg/listings/100645061/for-sale-buangkok-tropica-buangkok-crescent,5.0,3,2.0
Spring Haven,HDB 4 Room,560A,Spring Haven @ Jurong,,Blk 560A Spring Haven @ Jurong,,,93,94,738000,https://www.srx.com.sg/listings/100645031/for-sale-spring-haven-jurong-jurong-west-street-42,5.0,3,2.0
Compassvale Mast,HDB 4 Room,217B,Compassvale Mast,,Blk 217B Compassvale Mast,,,92,93,738000,https://www.srx.com.sg/listings/100645021/for-sale-compassvale-mast-compassvale-drive,6.0,3,2.0
Redhill,HDB 5 Room,74A,Redhill Road,,Blk 74A Redhill Road,,,115,81,738000,https://www.srx.com.sg/listings/100645001/for-sale-redhill-road-redhill-road,18.0,3,2.0
Bedok North,HDB 3 Room,426,Bedok North Road,,Blk 426 Bedok North Road,,,67,55,1380000,https://www.srx.com.sg/listings/100644961/for-sale-bedok-north-road-bedok-north-road,44.0,2,2.0
Tampines,HDB Executive,148,Tampines Avenue 5,,Blk 148 Tampines Avenue 5,,,142,61,1380000,https://www.srx.com.sg/listings/99585151/for-sale-tampines-avenue-5-ea-near-tampines-mrt-with-1neighbour-only,38.0,4,2.0
Clementi,HDB 5 Room,338,Clementi Avenue 2,,Blk 338 Clementi Avenue 2,,,119,54,1380000,https://www.srx.com.sg/listings/99515021/for-sale-clementi-avenue-2-clementi-avenue-2,45.0,3,2.0
Hougang,HDB 3 Room,674,Hougang Avenue 8,,Blk 674 Hougang Avenue 8,,,65,63,518000,https://www.srx.com.sg/listings/100644901/for-sale-hougang-avenue-8-hougang-avenue-8,36.0,2,2.0
Jurong West,HDB 3 Room,456,Jurong West Street 41,,Blk 456 Jurong West Street 41,,,67,61,518000,https://www.srx.com.sg/listings/100644831/for-sale-jurong-west-street-41-jurong-west-street-41,38.0,2,2.0
Bukit Batok East,HDB 4 Room,260,Bukit Batok East Avenue 4,,Blk 260 Bukit Batok East Avenue 4,,,103,61,588000,https://www.srx.com.sg/listings/100644781/for-sale-bukit-batok-east-avenue-4-bukit-batok-east-avenue-4,38.0,3,2.0
Fern Grove,HDB 4 Room,673B,Fern Grove @ Yishun,,Blk 673B Fern Grove @ Yishun,,,93,94,588000,https://www.srx.com.sg/listings/100644721/for-sale-fern-grove-yishun-yishun-avenue-4,5.0,3,2.0
Choa Chu Kang,HDB 4 Room,440,Choa Chu Kang Avenue 4,,Blk 440 Choa Chu Kang Avenue 4,,,106,69,588000,https://www.srx.com.sg/listings/100644701/for-sale-choa-chu-kang-avenue-4-choa-chu-kang-avenue-4,30.0,3,2.0
Holland Vista,HDB 3 Room,13,Holland Vista,,Blk 13 Holland Vista,,,65,51,628000,https://www.srx.com.sg/listings/100644681/for-sale-holland-vista-holland-drive,48.0,2,2.0
Balam,HDB 2 Room,30,Balam Road,,Blk 30 Balam Road,,,46,49,628000,https://www.srx.com.sg/listings/100624221/for-sale-balam-road-high-flr-corner-with-extra-space,50.0,2+1,1.0
Cassia Crescent,HDB 4 Room,28,Cassia Crescent,,Blk 28 Cassia Crescent,,,102,74,628000,https://www.srx.com.sg/listings/100031251/for-sale-cassia-crescent-cassia-crescent,25.0,3,2.0
Punggol Field,HDB 5 Room,258A,Punggol Field,,Blk 258A Punggol Field,,,113,92,679000,https://www.srx.com.sg/listings/100031241/for-sale-punggol-field-punggol-field,7.0,4,2.0
Havelock,HDB 3 Room,57,Havelock Road,,Blk 57 Havelock Road,,,69,89,679000,https://www.srx.com.sg/listings/97672701/for-sale-havelock-road-havelock-road,10.0,2,2.0
Chin Swee,HDB 4 Room,53,Chin Swee Road,,Blk 53 Chin Swee Road,,,77,50,1060000,https://www.srx.com.sg/listings/100030701/for-sale-chin-swee-road-chin-swee-road,49.0,3,2.0
Lorong 2 Toa Payoh,HDB 5 Room,152,Lorong 2 Toa Payoh,,Blk 152 Lorong 2 Toa Payoh,,,110,82,1060000,https://www.srx.com.sg/listings/95517091/for-sale-lorong-2-toa-payoh-high-floor-next-to-mrt-and-shops,17.0,3,2.0
Pasir Ris,HDB 5 Room,461,Pasir Ris Drive 4,,Blk 461 Pasir Ris Drive 4,,,122,68,1060000,https://www.srx.com.sg/listings/99470031/for-sale-pasir-ris-drive-4-park-facing-efficient-layout-view-to-believe,31.0,3,2.0
Pasir Ris,HDB 5 Room,776,Pasir Ris Street 71,,Blk 776 Pasir Ris Street 71,,,127,72,420000,https://www.srx.com.sg/listings/100029951/for-sale-pasir-ris-street-71-pasir-ris-street-71,27.0,3,2.0
Skyparc,HDB 4 Room,96,Skyparc @ Dawson,,Blk 96 Skyparc @ Dawson,,,86,96,420000,https://www.srx.com.sg/listings/100029501/for-sale-skyparc-dawson-dawson-road,3.0,3,2.0
Circuit,HDB 2 Room,51,Circuit Road,,Blk 51 Circuit Road,,,42,45,965000,https://www.srx.com.sg/listings/99917781/for-sale-circuit-road-circuit-road,54.0,1,1.0
Lake Vista,HDB 5 Room,138B,Lake Vista @ Yuan Ching,,Blk 138B Lake Vista @ Yuan Ching,,,108,90,965000,https://www.srx.com.sg/listings/99655961/for-sale-lake-vista-yuan-ching-yuan-ching-road,9.0,3,2.0
Bukit Batok,HDB 5 Room,291C,Bukit Batok Street 24,,Blk 291C Bukit Batok Street 24,,,121,74,965000,https://www.srx.com.sg/listings/99415771/for-sale-bukit-batok-street-24-bukit-batok-street-24,25.0,3,2.0
Serangoon Central,HDB 4 Room,201,Serangoon Central,,Blk 201 Serangoon Central,,,89,61,750000,https://www.srx.com.sg/listings/100008181/for-sale-serangoon-central-fully-renovated-corner-with-recess-area-5-mins-t,38.0,3,2.0
Lorong 1 Toa Payoh,HDB 2 Room,161,Lorong 1 Toa Payoh,,Blk 161 Lorong 1 Toa Payoh,,,40,48,750000,https://www.srx.com.sg/listings/99192501/for-sale-lorong-1-toa-payoh-rare-corner-selling-only-no-extension-of-stay,51.0,1,1.0
Tampines,HDB 4 Room,266,Tampines Street 21,,Blk 266 Tampines Street 21,,,103,60,750000,https://www.srx.com.sg/listings/99616021/for-sale-tampines-street-21-tampines-street-21,39.0,3,2.0
Yishun,HDB 5 Room,651,Yishun Avenue 4,,Blk 651 Yishun Avenue 4,,,121,63,425000,https://www.srx.com.sg/listings/99770411/for-sale-yishun-avenue-4-yishun-avenue-4,36.0,4,2.0
Sumang Link,HDB 4 Room,313B,Sumang Link,,Blk 313B Sumang Link,,,92,91,900000,https://www.srx.com.sg/listings/99628591/for-sale-sumang-link-sumang-link,8.0,3,2.0
Fernvale Link,HDB 5 Room,415B,Fernvale Link,,Blk 415B Fernvale Link,,,113,92,900000,https://www.srx.com.sg/listings/97826491/for-sale-fernvale-link-fernvale-link,7.0,3,2.0
Hougang,HDB 4 Room,567,Hougang Street 51,,Blk 567 Hougang Street 51,,,100,73,900000,https://www.srx.com.sg/listings/97668821/for-sale-hougang-street-51-hougang-street-51,26.0,3,2.0
Sembawang Close,HDB 4 Room,324,Sembawang Close,,Blk 324 Sembawang Close,,,101,75,348000,https://www.srx.com.sg/listings/97684811/for-sale-sembawang-close-sembawang-close,24.0,3,2.0
Ang Mo Kio,HDB 3 Room,649,Ang Mo Kio Avenue 5,,Blk 649 Ang Mo Kio Avenue 5,,,75,56,348000,https://www.srx.com.sg/listings/97341911/for-sale-ang-mo-kio-avenue-5-ang-mo-kio-avenue-5,43.0,2,2.0
Lorong 1 Toa Payoh,HDB 3 Room,115,Lorong 1 Toa Payoh,,Blk 115 Lorong 1 Toa Payoh,,,65,43,480000,https://www.srx.com.sg/listings/97814681/for-sale-lorong-1-toa-payoh-115-lorong-1-toa-payoh,56.0,3,2.0
Jalan Rajah,HDB 5 Room,103,Jalan Rajah,,Blk 103 Jalan Rajah,,,139,60,480000,https://www.srx.com.sg/listings/96678811/for-sale-jalan-rajah-rare-city-fringe-large-exec-hdb-high-floor-1496,39.0,3,2.0
Petir,HDB 5 Room,167,Petir Road,,Blk 167 Petir Road,,,120,74,628000,https://www.srx.com.sg/listings/97809231/for-sale-petir-road-petir-road,25.0,3,2.0
Tampines Ria,HDB 2 Room,499A,Tampines Ria,,Blk 499A Tampines Ria,,,46,90,510000,https://www.srx.com.sg/listings/97796861/for-sale-tampines-ria-tampines-avenue-9,9.0,1,1.0
Segar,HDB 5 Room,546B,Segar Road,,Blk 546B Segar Road,,,112,91,510000,https://www.srx.com.sg/listings/97796241/for-sale-segar-road-segar-road,8.0,3,2.0
Woodlands,HDB 4 Room,536,Woodlands Drive 14,,Blk 536 Woodlands Drive 14,,,106,75,510000,https://www.srx.com.sg/listings/93809981/for-sale-woodlands-drive-14-woodlands-drive-14,24.0,3,2.0
Woodlands,HDB 4 Room,795,Woodlands Drive 72,,Blk 795 Woodlands Drive 72,,,100,74,440000,https://www.srx.com.sg/listings/95454521/for-sale-woodlands-drive-72-woodlands-drive-72,25.0,3,2.0
The Peak,HDB 3 Room,139A,The Peak @ Toa Payoh,,Blk 139A The Peak @ Toa Payoh,,,114,88,440000,https://www.srx.com.sg/listings/92163141/for-sale-the-peak-toa-payoh-fantastic-unblocked-view-at-night,11.0,3,2.0
Jurong West,HDB 5 Room,815,Jurong West Street 81,,Blk 815 Jurong West Street 81,,,121,66,880000,https://www.srx.com.sg/listings/100436361/for-sale-jurong-west-street-81-jurong-west-street-81,33.0,4,2.0
Pasir Ris,HDB Executive,585,Pasir Ris Street 53,,Blk 585 Pasir Ris Street 53,,,146,71,880000,https://www.srx.com.sg/listings/100436321/for-sale-pasir-ris-street-53-pasir-ris-street-53,28.0,3,2.0
Jurong East,HDB Executive,322A,Jurong East Street 31,,Blk 322A Jurong East Street 31,,,149,61,880000,https://www.srx.com.sg/listings/100436271/for-sale-jurong-east-street-31-jurong-east-street-31,38.0,4,2.0
Sumang Link,HDB 5 Room,312C,Sumang Link,,Blk 312C Sumang Link,,,112,91,758000,https://www.srx.com.sg/listings/100436201/for-sale-sumang-link-sumang-link,8.0,3,2.0
Bishan,HDB Executive,186,Bishan Street 13,,Blk 186 Bishan Street 13,,,153,63,758000,https://www.srx.com.sg/listings/100436161/for-sale-bishan-street-13-bishan-street-13,36.0,5,3.0
Yishun Gardens,HDB 5 Room,221,Yishun Gardens,,Blk 221 Yishun Gardens,,,121,61,758000,https://www.srx.com.sg/listings/100436131/for-sale-yishun-gardens-yishun-street-21,38.0,3,2.0
Yishun,HDB 4 Room,425,Yishun Avenue 11,,Blk 425 Yishun Avenue 11,,,84,64,585000,https://www.srx.com.sg/listings/100435981/for-sale-yishun-avenue-11-yishun-avenue-11,35.0,3,2.0
Keat Hong Crest,HDB 4 Room,802C,Keat Hong Crest,,Blk 802C Keat Hong Crest,,,92,94,585000,https://www.srx.com.sg/listings/100435921/for-sale-keat-hong-crest-keat-hong-close,5.0,3,2.0
Upper Cross,HDB 3 Room,34,Upper Cross Street,,Blk 34 Upper Cross Street,,,64,51,585000,https://www.srx.com.sg/listings/100435891/for-sale-upper-cross-street-upper-cross-street,48.0,2,2.0
Woodlands,HDB 3 Room,314,Woodlands Street 31,,Blk 314 Woodlands Street 31,,,73,69,558000,https://www.srx.com.sg/listings/100435721/for-sale-woodlands-street-31-woodlands-street-31,30.0,2,2.0
Ang Mo Kio,HDB 3 Room,319,Ang Mo Kio Avenue 1,,Blk 319 Ang Mo Kio Avenue 1,,,88,53,558000,https://www.srx.com.sg/listings/100435711/for-sale-ang-mo-kio-avenue-1-ang-mo-kio-avenue-1,46.0,2,2.0
Waterway Sunray,HDB 5 Room,658A,Waterway Sunray,,Blk 658A Waterway Sunray,,,113,94,558000,https://www.srx.com.sg/listings/100435671/for-sale-waterway-sunray-punggol-east,5.0,3,2.0
Hougang Parkview,HDB 4 Room,470A,Hougang Parkview,,Blk 470A Hougang Parkview,,,92,91,580000,https://www.srx.com.sg/listings/100435601/for-sale-hougang-parkview-upper-serangoon-crescent,8.0,2,2.0
Dover,HDB 3 Room,1,Dover Road,,Blk 1 Dover Road,,,73,51,580000,https://www.srx.com.sg/listings/100435581/for-sale-dover-road-dover-road,48.0,3,1.0
Ang Mo Kio,HDB 5 Room,700A,Ang Mo Kio Avenue 6,,Blk 700A Ang Mo Kio Avenue 6,,,110,79,580000,https://www.srx.com.sg/listings/100240401/for-sale-ang-mo-kio-avenue-6-ang-mo-kio-avenue-6,20.0,3,2.0
Dover,HDB 3 Room,1,Dover Road,,Blk 1 Dover Road,,,73,51,998000,https://www.srx.com.sg/listings/100301651/for-sale-dover-road-dover-road,48.0,2,1.0
Ang Mo Kio,HDB 4 Room,173,Ang Mo Kio Avenue 4,,Blk 173 Ang Mo Kio Avenue 4,,,92,58,998000,https://www.srx.com.sg/listings/100435531/for-sale-ang-mo-kio-avenue-4-ang-mo-kio-avenue-4,41.0,3,2.0
Jurong West Central 1,HDB 5 Room,679B,Jurong West Central 1,,Blk 679B Jurong West Central 1,,,115,76,750000,https://www.srx.com.sg/listings/100435481/for-sale-jurong-west-central-1-jurong-west-central-1,23.0,3,2.0
Jurong West,HDB 4 Room,942,Jurong West Street 91,,Blk 942 Jurong West Street 91,,,111,65,610000,https://www.srx.com.sg/listings/99836641/for-sale-jurong-west-street-91-jurong-west-street-91,34.0,3,2.0
Jurong West Central 1,HDB 4 Room,692A,Jurong West Central 1,,Blk 692A Jurong West Central 1,,,102,72,610000,https://www.srx.com.sg/listings/99836321/for-sale-jurong-west-central-1-jurong-west-central-1,27.0,3,2.0
Serangoon,HDB 4 Room,226,Serangoon Avenue 4,,Blk 226 Serangoon Avenue 4,,,105,60,720000,https://www.srx.com.sg/listings/99834181/for-sale-serangoon-avenue-4-serangoon-avenue-4,39.0,3,2.0
Compassvale Pearl,HDB 4 Room,212C,Compassvale Pearl,,Blk 212C Compassvale Pearl,,,95,88,720000,https://www.srx.com.sg/listings/99834061/for-sale-compassvale-pearl-compassvale-drive,11.0,3,2.0
MARSILING DRIVE,HDB 3 Room,1,MARSILING DRIVE,,Blk 1 MARSILING DRIVE,,,65,50,720000,https://www.srx.com.sg/listings/99833071/for-sale-marsiling-drive-marsiling-drive,49.0,3,2.0
Jurong East,HDB 3 Room,210,Jurong East Street 21,,Blk 210 Jurong East Street 21,,,67,59,1300000,https://www.srx.com.sg/listings/99832991/for-sale-jurong-east-street-21-jurong-east-street-21,40.0,2,2.0
Petir,HDB 4 Room,167,Petir Road,,Blk 167 Petir Road,,,100,74,1300000,https://www.srx.com.sg/listings/99832961/for-sale-petir-road-petir-road,25.0,3,2.0
Punggol Central,HDB 5 Room,298,Punggol Central,,Blk 298 Punggol Central,,,110,79,1300000,https://www.srx.com.sg/listings/99533271/for-sale-punggol-central-punggol-central,20.0,3,2.0
Dalvey,HDB 4 Room,78,Dalvey Road,,Blk 78 Dalvey Road,,,92,97,250000,https://www.srx.com.sg/listings/99808201/for-sale-dalvey-road-rare-3-yrs-hdb-for-sale-in-dawson-for-sale,2.0,3,2.0
Punggol Central,HDB 4 Room,602A,Punggol Central,,Blk 602A Punggol Central,,,94,88,250000,https://www.srx.com.sg/listings/99807121/for-sale-punggol-central-hdb-for-sale-near-mrt-in-punggol,11.0,3,2.0
Rivervale,HDB 5 Room,116B,Rivervale Drive,,Blk 116B Rivervale Drive,,,115,76,250000,https://www.srx.com.sg/listings/99829361/for-sale-rivervale-drive-rivervale-drive,23.0,3,2.0
West Terra,HDB 5 Room,450B,West Terra @ Bukit Batok,,Blk 450B West Terra @ Bukit Batok,,,113,95,1088888,https://www.srx.com.sg/listings/99829221/for-sale-west-terra-bukit-batok-bukit-batok-west-avenue-6,4.0,3,2.0
Fernvale Crest,HDB 3 Room,450B,Fernvale Crest,,Blk 450B Fernvale Crest,,,67,90,1088888,https://www.srx.com.sg/listings/99716141/for-sale-fernvale-crest-sengkang-west-way,9.0,2,2.0
Bukit Batok,HDB Executive,354,Bukit Batok Street 31,,Blk 354 Bukit Batok Street 31,,,147,63,1088888,https://www.srx.com.sg/listings/98028751/for-sale-bukit-batok-street-31-bukit-batok-street-31,36.0,4,3.0
Cantonment Towers,HDB 4 Room,12,Cantonment Towers,,Blk 12 Cantonment Towers,,,75,79,778000,https://www.srx.com.sg/listings/99805261/for-sale-cantonment-towers-no-extension-needed,20.0,3,2.0
Cantonment Towers,HDB 4 Room,12,Cantonment Towers,,Blk 12 Cantonment Towers,,,75,79,778000,https://www.srx.com.sg/listings/99805271/for-sale-cantonment-towers-no-extension-needed,20.0,3,2.0
West Coast,HDB 3 Room,704,West Coast Road,,Blk 704 West Coast Road,,,67,56,778000,https://www.srx.com.sg/listings/99499901/for-sale-west-coast-road-west-coast-road,43.0,2,2.0
Commonwealth Close,HDB 3 Room,83,Commonwealth Close,,Blk 83 Commonwealth Close,,,645,43,610666,https://www.srx.com.sg/listings/99804021/for-sale-commonwealth-close-83-commonwealth-close,56.0,2,1.0
Jurong West,HDB 4 Room,813,Jurong West Street 81,,Blk 813 Jurong West Street 81,,,104,66,610666,https://www.srx.com.sg/listings/99286941/for-sale-jurong-west-street-81-jurong-west-street-81,33.0,3,2.0
Punggol,HDB 4 Room,679C,Punggol Drive,,Blk 679C Punggol Drive,,,93,92,320000,https://www.srx.com.sg/listings/100549861/for-sale-punggol-drive-convenient-location-unblock-view,7.0,3,2.0
Tampines,HDB 3 Room,109,Tampines Street 11,,Blk 109 Tampines Street 11,,,74,60,320000,https://www.srx.com.sg/listings/100566101/for-sale-tampines-street-11-tampines-street-11,39.0,2,2.0
St. Georges,HDB 3 Room,14,St. Georges Road,,Blk 14 St. Georges Road,,,82,60,320000,https://www.srx.com.sg/listings/100563881/for-sale-st-georges-road-st-georges-road,39.0,2,1.0
Tampines,HDB Executive,124,Tampines Street 11,,Blk 124 Tampines Street 11,,,148,62,540000,https://www.srx.com.sg/listings/100563831/for-sale-tampines-street-11-tampines-street-11,37.0,3,3.0
Telok Blangah Towers,HDB 4 Room,80A,Telok Blangah Towers,,Blk 80A Telok Blangah Towers,,,95,89,540000,https://www.srx.com.sg/listings/100563741/for-sale-telok-blangah-towers-telok-blangah-street-31,10.0,3,2.0
Telok Blangah,HDB 3 Room,91A,Telok Blangah Street 31,,Blk 91A Telok Blangah Street 31,,,68,94,540000,https://www.srx.com.sg/listings/100548491/for-sale-telok-blangah-street-31-serious-seller-call-daniel-to-view-now,5.0,2,2.0
Jalan Bukit Ho Swee,HDB 3 Room,6,Jalan Bukit Ho Swee,,Blk 6 Jalan Bukit Ho Swee,,,59,47,445000,https://www.srx.com.sg/listings/100563601/for-sale-jalan-bukit-ho-swee-jalan-bukit-ho-swee,52.0,2,1.0
Serangoon North,HDB 5 Room,529,Serangoon North Avenue 4,,Blk 529 Serangoon North Avenue 4,,,122,68,445000,https://www.srx.com.sg/listings/100295691/for-sale-serangoon-north-avenue-4-serangoon-north-avenue-4,31.0,4,2.0
Toh Guan,HDB 5 Room,276,Toh Guan Road,,Blk 276 Toh Guan Road,,,121,74,660000,https://www.srx.com.sg/listings/100563351/for-sale-toh-guan-road-toh-guan-road,25.0,3,2.0
Bedok North,HDB 3 Room,75,Bedok North Road,,Blk 75 Bedok North Road,,,59,54,838000,https://www.srx.com.sg/listings/100563221/for-sale-bedok-north-road-bedok-north-road,45.0,2,1.0
Ang Mo Kio,HDB Executive,615,Ang Mo Kio Avenue 4,,Blk 615 Ang Mo Kio Avenue 4,,,149,72,838000,https://www.srx.com.sg/listings/100548251/for-sale-ang-mo-kio-avenue-4-huge-space-that-is-quite-rare-to-get-nowadays-ext,27.0,4,2.0
Bishan,HDB 5 Room,290,Bishan Street 24,,Blk 290 Bishan Street 24,,,121,74,838000,https://www.srx.com.sg/listings/100426421/for-sale-bishan-street-24-bishan-street-24,25.0,4,2.0
Jurong West,HDB Executive,548,Jurong West Street 42,,Blk 548 Jurong West Street 42,,,151,61,580000,https://www.srx.com.sg/listings/100478741/for-sale-jurong-west-street-42-548-jurong-west-street-42,38.0,4,3.0
Serangoon,HDB 4 Room,245,Serangoon Avenue 2,,Blk 245 Serangoon Avenue 2,,,89,61,580000,https://www.srx.com.sg/listings/100563031/for-sale-serangoon-avenue-2-serangoon-avenue-2,38.0,3,2.0
Clementi,HDB 3 Room,306,Clementi Avenue 4,,Blk 306 Clementi Avenue 4,,,67,55,580000,https://www.srx.com.sg/listings/100394321/for-sale-clementi-avenue-4-clementi-avenue-4,44.0,2,2.0
Ghim Moh,HDB 3 Room,5,Ghim Moh Road,,Blk 5 Ghim Moh Road,,,65,52,759800,https://www.srx.com.sg/listings/99442571/for-sale-ghim-moh-road-new-list-for-sales,47.0,2,1.0
Tiong Bahru View,HDB 5 Room,9B,Tiong Bahru View,,Blk 9B Tiong Bahru View,,,112,92,759800,https://www.srx.com.sg/listings/91618701/for-sale-tiong-bahru-view-boon-tiong-road,7.0,3,2.0
Compassvale Walk,HDB 5 Room,228C,Compassvale Walk,,Blk 228C Compassvale Walk,,,121,76,759800,https://www.srx.com.sg/listings/99104811/for-sale-compassvale-walk-compassvale-walk,23.0,3,2.0
Fengshan Greenville,HDB 4 Room,186B,Fengshan Greenville,,Blk 186B Fengshan Greenville,,,93,94,580000,https://www.srx.com.sg/listings/99868881/for-sale-fengshan-greenville-bedok-north-street-4,5.0,3,2.0
Ang Mo Kio,HDB 3 Room,503,Ang Mo Kio Avenue 5,,Blk 503 Ang Mo Kio Avenue 5,,,68,57,580000,https://www.srx.com.sg/listings/100606211/for-sale-ang-mo-kio-avenue-5-ang-mo-kio-avenue-5,42.0,2,2.0
Senja,HDB 5 Room,623,Senja Road,,Blk 623 Senja Road,,,110,77,580000,https://www.srx.com.sg/listings/100644811/for-sale-senja-road-senja-road,22.0,3,2.0
Choa Chu Kang,HDB 4 Room,484B,Choa Chu Kang Avenue 5,,Blk 484B Choa Chu Kang Avenue 5,,,102,75,740000,https://www.srx.com.sg/listings/100440511/for-sale-choa-chu-kang-avenue-5-choa-chu-kang-avenue-5,24.0,3,2.0
Jurong East,HDB 3 Room,102,Jurong East Street 13,,Blk 102 Jurong East Street 13,,,67,58,740000,https://www.srx.com.sg/listings/100459391/for-sale-jurong-east-street-13-jurong-east-street-13,41.0,2,2.0
Jurong East,HDB 4 Room,218,Jurong East Street 21,,Blk 218 Jurong East Street 21,,,92,60,740000,https://www.srx.com.sg/listings/98959431/for-sale-jurong-east-street-21-jurong-east-street-21,39.0,3,2.0
Fern Grove,HDB 4 Room,675D,Fern Grove @ Yishun,,Blk 675D Fern Grove @ Yishun,,,93,94,508000,https://www.srx.com.sg/listings/100593231/for-sale-fern-grove-yishun-yishun-avenue-4,5.0,3,2.0
Choa Chu Kang Central,HDB 4 Room,212,Choa Chu Kang Central,,Blk 212 Choa Chu Kang Central,,,104,65,508000,https://www.srx.com.sg/listings/100439631/for-sale-choa-chu-kang-central-choa-chu-kang-central,34.0,3,2.0
Boon Lay Place,HDB 3 Room,208,Boon Lay Place,,Blk 208 Boon Lay Place,,,65,52,420000,https://www.srx.com.sg/listings/100457751/for-sale-boon-lay-place-boon-lay-place,47.0,2,1.0
Keat Hong Close,HDB 4 Room,805D,Keat Hong Close,,Blk 805D Keat Hong Close,,,93,93,420000,https://www.srx.com.sg/listings/100121271/for-sale-keat-hong-close-no-extension,6.0,3,2.0
Hougang,HDB Executive,634,Hougang Avenue 8,,Blk 634 Hougang Avenue 8,,,148,63,420000,https://www.srx.com.sg/listings/100180291/for-sale-hougang-avenue-8-hougang-avenue-8,36.0,3,2.0
Jurong West,HDB 4 Room,989B,Jurong West Street 93,,Blk 989B Jurong West Street 93,,,93,84,350000,https://www.srx.com.sg/listings/100645981/for-sale-jurong-west-street-93-4a-jurong-w-corner-blk-989b,15.0,3,2.0
Edgefield,HDB Executive,181,Edgefield Plains,,Blk 181 Edgefield Plains,,,128,79,350000,https://www.srx.com.sg/listings/100645951/for-sale-edgefield-plains-rare-airy-bright-corner-value-buy,20.0,3,2.0
Admiralty,HDB 5 Room,467,Admiralty Drive,,Blk 467 Admiralty Drive,,,115,77,998000,https://www.srx.com.sg/listings/100565611/for-sale-admiralty-drive-admiralty-drive,22.0,3,2.0
Boon Lay,HDB 5 Room,268C,Boon Lay Drive,,Blk 268C Boon Lay Drive,,,110,78,998000,https://www.srx.com.sg/listings/98925461/for-sale-boon-lay-drive-boon-lay-drive,21.0,3,2.0
Fernvale Residence,HDB 4 Room,435B,Fernvale Residence,,Blk 435B Fernvale Residence,,,94,89,650000,https://www.srx.com.sg/listings/98925381/for-sale-fernvale-residence-fernvale-road,10.0,3,2.0
King Georges,HDB 3 Room,806,King Georges Avenue,,Blk 806 King Georges Avenue,,,68,57,650000,https://www.srx.com.sg/listings/98924661/for-sale-king-georges-avenue-hdb-3-rooms-for-sale-at-lavender,42.0,2,2.0
Clementi,HDB 4 Room,347,Clementi Avenue 5,,Blk 347 Clementi Avenue 5,,,92,55,650000,https://www.srx.com.sg/listings/98924551/for-sale-clementi-avenue-5-347-clementi-avenue-5,44.0,3,2.0
Pasir Ris,HDB 4 Room,452,Pasir Ris Drive 6,,Blk 452 Pasir Ris Drive 6,,,105,65,838888,https://www.srx.com.sg/listings/98922671/for-sale-pasir-ris-drive-6-pasir-ris-drive-6,34.0,3,2.0
Bedok North,HDB 4 Room,536,Bedok North Street 3,,Blk 536 Bedok North Street 3,,,95,56,838888,https://www.srx.com.sg/listings/98015631/for-sale-bedok-north-street-3-bedok-north-street-3,43.0,3,2.0
Serangoon North,HDB 3 Room,151,Serangoon North Avenue 2,,Blk 151 Serangoon North Avenue 2,,,69,62,420000,https://www.srx.com.sg/listings/98845221/for-sale-serangoon-north-avenue-2-serangoon-north-avenue-2,37.0,2,2.0
Tampines,HDB 5 Room,346,Tampines Street 33,,Blk 346 Tampines Street 33,,,134,72,420000,https://www.srx.com.sg/listings/98748641/for-sale-tampines-street-33-tampines-street-33,27.0,2,2.0
Telok Blangah,HDB 3 Room,75,Telok Blangah Drive,,Blk 75 Telok Blangah Drive,,,67,54,420000,https://www.srx.com.sg/listings/98917361/for-sale-telok-blangah-drive-telok-blangah-drive,45.0,2,2.0
Kim Tian Green,HDB 5 Room,127D,Kim Tian Green,,Blk 127D Kim Tian Green,,,113,89,399999,https://www.srx.com.sg/listings/98285321/for-sale-kim-tian-green-rare-high-floor-unblocked-view-prime-location-4-be,10.0,4,2.0
Compassvale Link,HDB 4 Room,277D,Compassvale Link,,Blk 277D Compassvale Link,,,92,85,399999,https://www.srx.com.sg/listings/98916351/for-sale-compassvale-link-compassvale-link,14.0,3,2.0
