Location_Name,Location_Type,Blk_No,Address,Postal_Code,Full Address,Long,Lat,floor_area_sqm,remaining_lease,Price,Link,Lease_Used,Num_Bed,Num_Toilet
Jurong West,HDB 4 Room,668A,Jurong West Street 64,,Blk 668A Jurong West Street 64,,,85,76,630000,https://www.srx.com.sg/listings/100584481/for-sale-jurong-west-street-64-jurong-west-street-64,23.0,3,2.0
Dawson,HDB 4 Room,87,Dawson Road,,Blk 87 Dawson Road,,,87,92,578000,https://www.srx.com.sg/listings/100568351/for-sale-dawson-road-rare-beautiful-greenery-facing-balcony-unit,7.0,3,2.0
Ping Yi Greens,HDB 4 Room,807C,Ping Yi Greens,,Blk 807C Ping Yi Greens,,,93,92,578000,https://www.srx.com.sg/listings/100584431/for-sale-ping-yi-greens-chai-chee-road,7.0,3,2.0
Bedok Reservoir,HDB 5 Room,611,Bedok Reservoir Road,,Blk 611 Bedok Reservoir Road,,,127,69,578000,https://www.srx.com.sg/listings/100584341/for-sale-bedok-reservoir-road-bedok-reservoir-road,30.0,3,2.0
Punggol Central,HDB Executive,188,Punggol Central,,Blk 188 Punggol Central,,,128,80,628000,https://www.srx.com.sg/listings/100227201/for-sale-punggol-central-inter-corner-unit-pure-selling-no-extension-nee,19.0,3,2.0
Jurong East,HDB 5 Room,230,Jurong East Street 21,,Blk 230 Jurong East Street 21,,,120,57,628000,https://www.srx.com.sg/listings/100249201/for-sale-jurong-east-street-21-jurong-east-street-21,42.0,3,2.0
Keat Hong Close,HDB 4 Room,805D,Keat Hong Close,,Blk 805D Keat Hong Close,,,93,93,628000,https://www.srx.com.sg/listings/100248241/for-sale-keat-hong-close-keat-hong-close,6.0,3,2.0
Ang Mo Kio,HDB 5 Room,222,Ang Mo Kio Avenue 1,,Blk 222 Ang Mo Kio Avenue 1,,,127,69,710000,https://www.srx.com.sg/listings/99736161/for-sale-ang-mo-kio-avenue-1-ang-mo-kio-avenue-1,30.0,4,2.0
Bedok Reservoir,HDB 3 Room,113,Bedok Reservoir Road,,Blk 113 Bedok Reservoir Road,,,73,61,710000,https://www.srx.com.sg/listings/100250001/for-sale-bedok-reservoir-road-bedok-reservoir-road,38.0,2,2.0
Compassvale Crescent,HDB 4 Room,287C,Compassvale Crescent,,Blk 287C Compassvale Crescent,,,93,93,710000,https://www.srx.com.sg/listings/100249131/for-sale-compassvale-crescent-compassvale-crescent,6.0,3,2.0
Admiralty Link,HDB 4 Room,490,Admiralty Link,,Blk 490 Admiralty Link,,,94,86,990000,https://www.srx.com.sg/listings/100249091/for-sale-admiralty-link-admiralty-link,13.0,3,2.0
Tampines,HDB 4 Room,284,Tampines Street 22,,Blk 284 Tampines Street 22,,,103,60,990000,https://www.srx.com.sg/listings/100249051/for-sale-tampines-street-22-tampines-street-22,39.0,3,2.0
Cantonment Towers,HDB 3 Room,9,Cantonment Towers,,Blk 9 Cantonment Towers,,,60,78,990000,https://www.srx.com.sg/listings/100248961/for-sale-cantonment-towers-cantonment-close,21.0,2,2.0
Tiong Bahru,HDB 3 Room,28,Tiong Bahru Road,,Blk 28 Tiong Bahru Road,,,88,49,380000,https://www.srx.com.sg/listings/100248771/for-sale-tiong-bahru-road-tiong-bahru-road,50.0,2,1.0
Bukit Purmei,HDB 5 Room,114,Bukit Purmei Road,,Blk 114 Bukit Purmei Road,,,130,61,380000,https://www.srx.com.sg/listings/100248721/for-sale-bukit-purmei-road-bukit-purmei-road,38.0,3,2.0
Ang Mo Kio,HDB 3 Room,120,Ang Mo Kio Avenue 3,,Blk 120 Ang Mo Kio Avenue 3,,,67,54,380000,https://www.srx.com.sg/listings/100248651/for-sale-ang-mo-kio-avenue-3-ang-mo-kio-avenue-3,45.0,2,2.0
Treetrail,HDB 4 Room,889D,Treetrail@woodlands,,Blk 889D Treetrail@woodlands,,,93,93,698000,https://www.srx.com.sg/listings/100248531/for-sale-treetrail-woodlands-woodlands-drive-50,6.0,3,2.0
Rivervale Crescent,HDB 5 Room,185A,Rivervale Crescent,,Blk 185A Rivervale Crescent,,,110,76,698000,https://www.srx.com.sg/listings/100248471/for-sale-rivervale-crescent-rivervale-crescent,23.0,3,2.0
Eastwave,HDB 4 Room,120C,Eastwave @ Canberra,,Blk 120C Eastwave @ Canberra,,,93,94,698000,https://www.srx.com.sg/listings/100248181/for-sale-eastwave-canberra-canberra-crescent,5.0,3,2.0
Hougang,HDB 4 Room,230,Hougang Avenue 1,,Blk 230 Hougang Avenue 1,,,103,60,968000,https://www.srx.com.sg/listings/100247881/for-sale-hougang-avenue-1-hougang-avenue-1,39.0,3,2.0
