,Coordinates,FairpricePoints,HosPoints,MallPoints,MRTPoints,ParksPoints,PriSchPoints,SecSchPoints,TertairyPoints,UniPoints,Area,Location_Type,Link,floor_area_sqm,remaining_lease,Sale_Price,Location,Lease_Points,SQM_Points,Total_Points,History_Avg_Point,Percent
13,"1.27569185, 103.81209361616982",0.007484705884739462,0.07152076705540698,0.0,0.005137611451119179,0.0037570218354253545,0.0107077076874879,0.0,0.0,0.0,TELOK BLANGAH HEIGHTS,HDB 3 ROOM,https://www.srx.com.sg/listings/98841831/for-sale-telok-blangah-heights-telok-blangah-heights,52,81,739000,BUKIT MERAH,0.04,0.02,0.15860781391417886,0.0,0.0
14,"1.2758805999999998, 103.80723350697187",0.012694707372665622,0.08673359175974306,0.0028150501982173995,0.009811630505709951,0.001984648261493206,0.021653590220830184,0.0,0.0,0.0,TELOK BLANGAH,HDB 4 ROOM,https://www.srx.com.sg/listings/100425081/for-sale-telok-blangah-street-31-telok-blangah-street-31,94,93,538888,BUKIT MERAH,0.05,0.035,0.22069321831865943,0.3079065032512523,35.83770007913301
15,"1.2759129, 103.84270226410374",0.04002840373381554,0.4045804420152116,0.017127378981111253,0.027566426234496958,0.002155795291824242,0.012779458414702058,0.0,0.0,0.0,TANJONG PAGAR PLAZA,HDB 3 ROOM,https://www.99.co/singapore/sale/property/4-tanjong-pagar-plaza-hdb-dr6j3QAWpXZ3HDiLgqrKoC,53,58,560000,CENTRAL AREA,0.025,0.02,0.5492379046711617,0.0,0.0
16,"1.27641495, 103.81143909219794",0.010153499278540002,0.0660778145422925,0.0,0.004758530157539366,0.004603575496607134,0.01368593014189813,0.0,0.0,0.0,TELOK BLANGAH HEIGHTS,HDB 4 ROOM,https://www.srx.com.sg/listings/100253091/for-sale-telok-blangah-heights-telok-blangah-heights,93,93,340000,BUKIT MERAH,0.05,0.035,0.18427934961687714,0.3079065032512523,29.92456276029104
17,"1.2766663, 103.80704638711627",0.01139136905665931,0.07720675556644867,0.002755109282825124,0.008852552257293964,0.0021259354955804255,0.020183141295182568,0.0,0.0,0.0,TELOK BLANGAH,HDB 3 ROOM,https://www.srx.com.sg/listings/100548491/for-sale-telok-blangah-street-31-serious-seller-call-daniel-to-view-now,94,68,620000,BUKIT MERAH,0.03,0.035,0.18751486295399006,0.0,0.0
18,"1.2768370500000001, 103.80850945299625",0.011808242812356876,0.0771705041408942,0.0022689834494082637,0.008321096088302268,0.003057912008932627,0.06843557798666378,0.0,0.0,0.0,TELOK BLANGAH HEIGHTS,HDB 5 ROOM,https://www.srx.com.sg/listings/100003261/for-sale-telok-blangah-heights-telok-blangah-heights,79,111,778000,BUKIT MERAH,0.05,0.025,0.246062316486558,0.8171808554209762,15.055560519696545
19,"1.2769187, 103.84149595",0.010937102129628784,0.30330857268203076,0.012379247865184415,0.023872343146976616,0.00279112854750965,0.018446761536307994,0.0,0.0,0.0,CANTONMENT,HDB 5 ROOM,https://www.99.co/singapore/sale/property/1-cantonment-road-hdb-nzzoaG3wF6oV9JScZB4nzS,87,112,1668000,CENTRAL AREA,0.05,0.025,0.4467351559076382,8.243276557593301,2.7096940930371174
20,"1.2772488499999999, 103.82133302174486",0.005315012852882079,0.0933816590419288,0.0,0.0,0.0015617900512080879,0.019591099202475856,0.02508934030757728,0.0,0.0,TELOK BLANGAH CRESCENT,HDB 4 ROOM,https://www.srx.com.sg/listings/100217511/for-sale-telok-blangah-crescent-telok-blangah-crescent,78,100,1200000,BUKIT MERAH,0.05,0.025,0.21993890145607212,0.3079065032512523,35.71520885945718
21,"1.27729225, 103.80692728729755",0.010793338986459178,0.07706906407691119,0.0026716181711980095,0.008177880211391372,0.002214004228708544,0.017289992496485985,0.0,0.0,0.0,TELOK BLANGAH,HDB 4 ROOM,https://www.srx.com.sg/listings/100439691/for-sale-telok-blangah-street-31-telok-blangah-street-31,94,93,438000,BUKIT MERAH,0.05,0.035,0.2032158981711543,0.3079065032512523,32.99961124973865
22,"1.27743925, 103.84166719999999",0.009989508671640699,0.3015451303479909,0.014278910447978112,0.025582513341535162,0.0028993501759937545,0.014932611752894042,0.0,0.0,0.0,CANTONMENT,HDB 4 ROOM,https://www.99.co/singapore/sale/property/1c-cantonment-road-hdb-HmypiGfiE9GTMcJfYoca8d,87,92,1450000,CENTRAL AREA,0.05,0.025,0.44422802473803275,10.224003917150805,2.172475814454837
