Location_Name,Location_Type,Blk_No,Address,Postal_Code,Full_Address,Long,Lat
Marina South MRT,MRT ,61,Marina Mall,19397,61 Marina Mall S 019397,,
Marina South Pier MRT,MRT ,33,Marina Coastal Drive,18948,33 Marina Coastal Drive S 018948,,
Marsiling MRT,MRT ,71,Woodlands Avenue 3,739044,71 Woodlands Avenue 3 S 739044,,
Marymount MRT,MRT ,60,Marymount Road,573993,60 Marymount Road S 573993,,
Mattar MRT,MRT ,60,Merpati Road,379314,60 Merpati Road S 379314,,
Maxwell MRT,MRT ,50,Neil Road,88906,50 Neil Road S 088906,,
Mayflower MRT,MRT ,91,Ang Mo Kio Avenue 4,569900,91 Ang Mo Kio Avenue 4 S 569900,,
Mountbatten MRT,MRT ,301,Mountbatten Road,398006,301 Mountbatten Road S 398006,,
Napier MRT,MRT ,2,Napier Road,258511,2 Napier Road S 258511,,
Newton MRT,MRT ,49,Scotts Road,228234,49 Scotts Road S 228234,,
Nicoll Highway MRT,MRT ,20,Republic Avenue,38970,20 Republic Avenue S 038970,,
Novena MRT,MRT ,250,Thomson Road,307642,250 Thomson Road S 307642,,
One-North MRT,MRT ,9,Ayer Rajah Avenue,138647,9 Ayer Rajah Avenue S 138647,,
Orchard MRT,MRT ,437,Orchard Road,238878,437 Orchard Road S 238878,,
Orchard Boulevard MRT,MRT ,20,Orchard Boulevard,248654,20 Orchard Boulevard S 248654,,
Outram MRT,MRT ,10,Outram Road,169037,10 Outram Road S 169037,,
Pasir Panjang MRT,MRT ,119,Pasir Panjang Road,117424,119 Pasir Panjang Road S 117424,,
Pasir Ris MRT,MRT ,10,Pasir Ris Central,519634,10 Pasir Ris Central S 519634,,
Paya Lebar MRT,MRT ,30,Paya Lebar Road,409006,30 Paya Lebar Road S 409006,,
Pioneer MRT,MRT ,31,Jurong West Street 63,648310,31 Jurong West Street 63 S 648310,,
Potong Pasir MRT,MRT ,55,Upper Serangoon Road ,347694,55 Upper Serangoon Road  S 347694,,
Promenade MRT,MRT ,2,Temasek Avenue,39193,2 Temasek Avenue S 039193,,
Punggol MRT,MRT ,70,Punggol Central,828868,70 Punggol Central S 828868,,
Queenstown MRT,MRT,301,Commonwealth Avenue,149729,301 Commonwealth Avenue S 149729,,
Raffles Place MRT,MRT ,5,Raffles Place,48618,5 Raffles Place S 048618,,
Redhill MRT,MRT ,920,Tiong Bahru Road,158792,920 Tiong Bahru Road S 158792,,
Riviera MRT,MRT ,40,Punggol East ,828852,40 Punggol East  S 828852,,
Rochor MRT,MRT ,11,Rochor Canal Road ,188505,11 Rochor Canal Road  S 188505,,
Sembawang MRT,MRT ,11,Canberra Road,759775,11 Canberra Road S 759775,,
Sengkang MRT,MRT ,5,Sengkang Square,545062,5 Sengkang Square S 545062,,
Serangoon MRT,MRT ,600,Upper Serangoon Road,534801,600 Upper Serangoon Road S 534801,,
Shenton Way MRT,MRT ,2,Park Street,18928,2 Park Street S 018928,,
Simei MRT,MRT ,30,Simei Street 3,529888,30 Simei Street 3 S 529888,,
Sixth Avenue MRT,MRT ,777,Bukit Timah Road,269784,777 Bukit Timah Road S 269784,,
Somerset MRT,MRT ,1,Somerset Road,238162,1 Somerset Road S 238162,,
Springleaf MRT,MRT ,825,Upper Thomson Road,787140,825 Upper Thomson Road S 787140,,
Stadium MRT,MRT ,3,Stadium Walk,397692,3 Stadium Walk S 397692,,
Stevens MRT,MRT ,92,Stevens Road,257877,92 Stevens Road S 257877,,
Tai Seng MRT,MRT ,33,Upper Paya Lebar Road,534803,33 Upper Paya Lebar Road S 534803,,
Tampines MRT,MRT ,20,Tampines Central 1,529538,20 Tampines Central 1 S 529538,,
Tampines East MRT,MRT ,20,Tampines Avenus 7,529623,20 Tampines Avenus 7 S 529623,,
Tampines West MRT,MRT ,2,Tampines Avenue 4,529683,2 Tampines Avenue 4 S 529683,,
Tan Kah Kee MRT,MRT ,651,Bukit Timah Road,266268,651 Bukit Timah Road S 266268,,
Tanah Merah MRT,MRT ,920,New Upper Changi Road,467356,920 New Upper Changi Road S 467356,,
Tanjong Katong MRT,MRT ,2,Amber Road,439846,2 Amber Road S 439846,,
Tanjong Pagar MRT,MRT ,120,Maxwell Road,69119,120 Maxwell Road S 069119,,
Telok Ayer MRT,MRT ,7,Cross Street,48416,7 Cross Street S 048416,,
Telok Blangah MRT,MRT ,463,Telok Blangah Road,109028,463 Telok Blangah Road S 109028,,
Tiong Bahru MRT,MRT ,300,Tiong Bahru Road,109028,300 Tiong Bahru Road S 109028,,
Toa Payoh MRT,MRT ,510,Lorong 6 Toa Payoh,319398,510 Lorong 6 Toa Payoh S 319398,,
Tuas Crescent MRT,MRT ,90,Pioneer Road,639608,90 Pioneer Road S 639608,,
Tuas Link MRT,MRT ,20,Tuas West Drive,638418,20 Tuas West Drive S 638418,,
Tuas West Road MRT,MRT ,131,Pioneer Road,639609,131 Pioneer Road S 639609,,
Ubi MRT,MRT ,51,Ubi Avenue 2,408899,51 Ubi Avenue 2 S 408899,,
Upper Changi MRT,MRT ,690,Upper Changi Road,485990,690 Upper Changi Road S 485990,,
Upper Thomson MRT,MRT ,1,Jalan Keli,577937,1 Jalan Keli S 577937,,
Woodlands MRT,MRT,30,Woodlands Avenue 2,738343,30 Woodlands Avenue 2 S 738343,,
Woodlands North MRT,MRT,20,Woodlands North Coast Road,737668,20 Woodlands North Coast Road S 737668,,
Woodlands South MRT,MRT,30,Woodlands Drive 17,737741,30 Woodlands Drive 17 S 737741,,
Woodleigh MRT,MRT,400,Upper Serangoogn Road,347695,400 Upper Serangoogn Road S 347695,,
Yew Tee MRT,MRT,61,Choa Chu Kang Drive,689715,61 Choa Chu Kang Drive S 689715,,
Yio Chu Kang MRT,MRT,3000,Ang Mo Kio Avenue 8 ,569813,3000 Ang Mo Kio Avenue 8  S 569813,,
Yishun MRT,MRT,301,Yishun Avenue 2,769093,301 Yishun Avenue 2 S 769093,,
Bedok South MRT,MRT,193,Kew Cres,466128,193 Kew Cres S 466128,,
Bukit Batok West MRT,MRT,70,Airport Blvd,819661,70 Airport Blvd S 819661,,
